NAME,FPL,tcal_left,tcal_right,zpos,tdc_underflow,tdc_overflow,t_fpl,tleft_geo,tleft_ch,t_fpl,tright_geo,tright_ch,q_fpl,qleft_geo,qleft_ch,q_fpl,qright_geo,qright_ch
F3pl,3,0.024413,0.024413,-205,110000,115000,63,6,0,63,6,1,63,4,0,63,4,2
F5pl,5,0.024413,0.024413,-170,-999999,999999,63,6,2,63,6,3,63,4,4,63,4,6
F7pl,7,0.024413,0.024413,220.5,108000,114000,63,6,4,63,6,5,63,4,8,63,4,10
F8pl,8,0.024413,0.024413,-932,108000,115000,63,6,6,63,6,7,63,4,12,63,4,14
F11pl-1,11,0.024413,0.024413,-432,-9999999,999999,63,6,8,63,6,9,63,4,16,63,4,18
