NAME	Id	FPL	layer	theta	x_pos	y_pos	z_pos	toff	tcal	qped	qcal	adc_geo	adc_ch	tdc_geo	tdc_ch
NaI55	55	8	7	71.94	-31.59	8.66	10.68	-372.7	0.0977	-374.498	3.27414	11	23	6	55
NaI56	56	8	7	71.89	-24.42	21.64	10.67	-375.5	0.0977	-319.438	3.14887	11	24	6	56
NaI57	57	8	7	71.94	-13.35	30.09	10.74	-376.1	0.0977	-394.224	3.07092	11	25	6	57
NaI58	58	8	7	71.97	0.9	32.76	10.67	-376.5	0.0977	-410.887	3.26816	11	26	6	58
NaI59	59	8	7	72.12	15.08	29.36	10.65	-376.7	0.0977	-423.807	3.23993	11	27	6	59
NaI60	60	8	7	72.26	26.54	19.64	10.56	-374.9	0.0977	-397.064	3.60457	11	28	6	60
NaI61	61	8	7	72.17	32.32	5.78	10.56	-374.6	0.0977	-409.472	3.33089	11	29	6	61
NaI62	62	8	7	71.97	31.43	-8.87	10.63	-377	0.0977	-315.53	3.16029	15	29	8	77
NaI63	63	8	7	71.8	24.42	-21.56	10.71	-371.1	0.0977	-348.316	3.63524	11	31	6	63
NaI64	64	8	7	71.88	13.11	-30.07	10.74	-378.4	0.0977	-251.82	3.26701	12	0	6	64
NaI65	65	8	7	72.06	-0.97	-32.89	10.65	-370.5	0.0977	-326.181	3.51778	12	1	6	65
NaI66	66	8	8	53.19	-19.21	-28.27	25.58	-376	0.0977	-308.93	3.41408	12	2	6	66
NaI67	67	8	8	53.2	-29.51	-17.16	25.54	-378.3	0.0977	57.6092	2.40717	12	3	6	67
NaI68	68	8	8	53.26	-34.13	-2.61	25.55	-376.6	0.0977	-363.47	3.12776	12	4	6	68
NaI69	69	8	8	53.16	-31.75	12.42	25.55	-378	0.0977	-301.747	3.29839	12	5	6	69
NaI70	70	8	8	53.21	-23.34	24.99	25.57	-378.4	0.0977	-299.054	3.26433	12	6	6	70
NaI71	71	8	8	53.24	-10.19	32.75	25.62	-377.9	0.0977	-301.373	3.18625	12	7	6	71
NaI72	72	8	8	53.28	4.94	33.88	25.54	-380	0.0977	-370.539	3.25962	15	26	8	74
NaI73	73	8	8	53.29	19.19	28.28	25.48	-376	0.0977	-270.225	3.19313	12	9	6	73
NaI74	74	8	8	53.28	29.5	17.34	25.53	-376.4	0.0977	-257.281	3.24397	12	10	6	74
NaI75	75	8	8	53.33	34.22	2.85	25.57	-376.3	0.0977	-323.085	3.40544	12	11	6	75
NaI76	76	8	8	53.19	31.75	-12.43	25.52	-377	0.0977	-286.142	3.11286	12	12	6	76
NaI77	77	8	8	53.32	23.41	-25.04	25.53	-377.2	0.0977	-260.03	3.25976	12	13	6	77
NaI78	78	8	8	53.26	10.24	-32.7	25.57	-378	0.0977	-261.067	3.12637	12	14	6	78
NaI79	79	8	8	53.19	-5.01	-33.79	25.56	-374	0.0977	-296.418	3.1266	12	15	6	79
NaI80	80	8	9	45.64	-12.33	-29.29	31.07	-377.9	0.0977	-303.986	3.13154	12	16	6	80
NaI81	81	8	9	45.61	-23.85	-20.91	31.05	-378.7	0.0977	-361.023	3.19889	12	17	6	81
NaI82	82	8	9	45.77	-30.68	-8.62	31.02	-377.4	0.0977	-341.144	3.28139	12	18	6	82
NaI83	83	8	9	45.8	-31.47	5.57	31.09	-379.2	0.0977	-368.918	3.42407	12	19	6	83
