NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
S1DC2_0_0,13,0,115,X,0,258.0,15.0,0,61,20,0
S1DC2_0_1,13,0,115,X,1,246.0,15.0,0,61,20,1
S1DC2_0_2,13,0,115,X,2,234.0,15.0,0,61,20,2
S1DC2_0_3,13,0,115,X,3,222.0,15.0,0,61,20,3
S1DC2_0_4,13,0,115,X,4,210.0,15.0,0,61,20,4
S1DC2_0_5,13,0,115,X,5,198.0,15.0,0,61,20,5
S1DC2_0_6,13,0,115,X,6,186.0,15.0,0,61,20,6
S1DC2_0_7,13,0,115,X,7,174.0,15.0,0,61,20,7
S1DC2_0_8,13,0,115,X,8,162.0,15.0,0,61,20,8
S1DC2_0_9,13,0,115,X,9,150.0,15.0,0,61,20,9
S1DC2_0_10,13,0,115,X,10,138.0,15.0,0,61,20,10
S1DC2_0_11,13,0,115,X,11,126.0,15.0,0,61,20,11
S1DC2_0_12,13,0,115,X,12,114.0,15.0,0,61,20,12
S1DC2_0_13,13,0,115,X,13,102.0,15.0,0,61,20,13
S1DC2_0_14,13,0,115,X,14,90.0,15.0,0,61,20,14
S1DC2_0_15,13,0,115,X,15,78.0,15.0,0,61,20,15
S1DC2_0_16,13,0,115,X,16,66.0,15.0,0,61,20,16
S1DC2_0_17,13,0,115,X,17,54.0,15.0,0,61,20,17
S1DC2_0_18,13,0,115,X,18,42.0,15.0,0,61,20,18
S1DC2_0_19,13,0,115,X,19,30.0,15.0,0,61,20,19
S1DC2_0_20,13,0,115,X,20,18.0,15.0,0,61,20,20
S1DC2_0_21,13,0,115,X,21,6.0,15.0,0,61,20,21
S1DC2_0_22,13,0,115,X,22,-6.0,15.0,0,61,20,22
S1DC2_0_23,13,0,115,X,23,-18.0,15.0,0,61,20,23
S1DC2_0_24,13,0,115,X,24,-30.0,15.0,0,61,20,24
S1DC2_0_25,13,0,115,X,25,-42.0,15.0,0,61,20,25
S1DC2_0_26,13,0,115,X,26,-54.0,15.0,0,61,20,26
S1DC2_0_27,13,0,115,X,27,-66.0,15.0,0,61,20,27
S1DC2_0_28,13,0,115,X,28,-78.0,15.0,0,61,20,28
S1DC2_0_29,13,0,115,X,29,-90.0,15.0,0,61,20,29
S1DC2_0_30,13,0,115,X,30,-102.0,15.0,0,61,20,30
S1DC2_0_31,13,0,115,X,31,-114.0,15.0,0,61,20,31
S1DC2_0_32,13,0,115,X,32,-126.0,15.0,0,61,20,32
S1DC2_0_33,13,0,115,X,33,-138.0,15.0,0,61,20,33
S1DC2_0_34,13,0,115,X,34,-150.0,15.0,0,61,20,34
S1DC2_0_35,13,0,115,X,35,-162.0,15.0,0,61,20,35
S1DC2_0_36,13,0,115,X,36,-174.0,15.0,0,61,20,36
S1DC2_0_37,13,0,115,X,37,-186.0,15.0,0,61,20,37
S1DC2_0_38,13,0,115,X,38,-198.0,15.0,0,61,20,38
S1DC2_0_39,13,0,115,X,39,-210.0,15.0,0,61,20,39
S1DC2_1_0,13,1,116,X,0,264.0,5.0,0,61,20,64
S1DC2_1_1,13,1,116,X,1,252.0,5.0,0,61,20,65
S1DC2_1_2,13,1,116,X,2,240.0,5.0,0,61,20,66
S1DC2_1_3,13,1,116,X,3,228.0,5.0,0,61,20,67
S1DC2_1_4,13,1,116,X,4,216.0,5.0,0,61,20,68
S1DC2_1_5,13,1,116,X,5,204.0,5.0,0,61,20,69
S1DC2_1_6,13,1,116,X,6,192.0,5.0,0,61,20,70
S1DC2_1_7,13,1,116,X,7,180.0,5.0,0,61,20,71
S1DC2_1_8,13,1,116,X,8,168.0,5.0,0,61,20,72
S1DC2_1_9,13,1,116,X,9,156.0,5.0,0,61,20,73
S1DC2_1_10,13,1,116,X,10,144.0,5.0,0,61,20,74
S1DC2_1_11,13,1,116,X,11,132.0,5.0,0,61,20,75
S1DC2_1_12,13,1,116,X,12,120.0,5.0,0,61,20,76
S1DC2_1_13,13,1,116,X,13,108.0,5.0,0,61,20,77
S1DC2_1_14,13,1,116,X,14,96.0,5.0,0,61,20,78
S1DC2_1_15,13,1,116,X,15,84.0,5.0,0,61,20,79
S1DC2_1_16,13,1,116,X,16,72.0,5.0,0,61,20,80
S1DC2_1_17,13,1,116,X,17,60.0,5.0,0,61,20,81
S1DC2_1_18,13,1,116,X,18,48.0,5.0,0,61,20,82
S1DC2_1_19,13,1,116,X,19,36.0,5.0,0,61,20,83
S1DC2_1_20,13,1,116,X,20,24.0,5.0,0,61,20,84
S1DC2_1_21,13,1,116,X,21,12.0,5.0,0,61,20,85
S1DC2_1_22,13,1,116,X,22,0.0,5.0,0,61,20,86
S1DC2_1_23,13,1,116,X,23,-12.0,5.0,0,61,20,87
S1DC2_1_24,13,1,116,X,24,-24.0,5.0,0,61,20,88
S1DC2_1_25,13,1,116,X,25,-36.0,5.0,0,61,20,89
S1DC2_1_26,13,1,116,X,26,-48.0,5.0,0,61,20,90
S1DC2_1_27,13,1,116,X,27,-60.0,5.0,0,61,20,91
S1DC2_1_28,13,1,116,X,28,-72.0,5.0,0,61,20,92
S1DC2_1_29,13,1,116,X,29,-84.0,5.0,0,61,20,93
S1DC2_1_30,13,1,116,X,30,-96.0,5.0,0,61,20,94
S1DC2_1_31,13,1,116,X,31,-108.0,5.0,0,61,20,95
S1DC2_1_32,13,1,116,X,32,-120.0,5.0,0,61,20,96
S1DC2_1_33,13,1,116,X,33,-132.0,5.0,0,61,20,97
S1DC2_1_34,13,1,116,X,34,-144.0,5.0,0,61,20,98
S1DC2_1_35,13,1,116,X,35,-156.0,5.0,0,61,20,99
S1DC2_1_36,13,1,116,X,36,-168.0,5.0,0,61,20,100
S1DC2_1_37,13,1,116,X,37,-180.0,5.0,0,61,20,101
S1DC2_1_38,13,1,116,X,38,-192.0,5.0,0,61,20,102
S1DC2_1_39,13,1,116,X,39,-204.0,5.0,0,61,20,103
S1DC2_2_0,13,2,117,Y,0,114.0,-5.0,0,61,20,40
S1DC2_2_1,13,2,117,Y,1,102.0,-5.0,0,61,20,41
S1DC2_2_2,13,2,117,Y,2,90.0,-5.0,0,61,20,42
S1DC2_2_3,13,2,117,Y,3,78.0,-5.0,0,61,20,43
S1DC2_2_4,13,2,117,Y,4,66.0,-5.0,0,61,20,44
S1DC2_2_5,13,2,117,Y,5,54.0,-5.0,0,61,20,45
S1DC2_2_6,13,2,117,Y,6,42.0,-5.0,0,61,20,46
S1DC2_2_7,13,2,117,Y,7,30.0,-5.0,0,61,20,47
S1DC2_2_8,13,2,117,Y,8,18.0,-5.0,0,61,20,48
S1DC2_2_9,13,2,117,Y,9,6.0,-5.0,0,61,20,49
S1DC2_2_10,13,2,117,Y,10,-6.0,-5.0,0,61,20,50
S1DC2_2_11,13,2,117,Y,11,-18.0,-5.0,0,61,20,51
S1DC2_2_12,13,2,117,Y,12,-30.0,-5.0,0,61,20,52
S1DC2_2_13,13,2,117,Y,13,-42.0,-5.0,0,61,20,53
S1DC2_2_14,13,2,117,Y,14,-54.0,-5.0,0,61,20,54
S1DC2_2_15,13,2,117,Y,15,-66.0,-5.0,0,61,20,55
S1DC2_2_16,13,2,117,Y,16,-78.0,-5.0,0,61,20,56
