ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
26,126,13,3,1,1158.2,0,13895.2,0.0976598,0,0,0.0390066,120.098,0.0976596,0,0,0.0390066,131.704,7.25899,5.0206,0,42,11,42,42,11,58,22,10,22,26,0,0,0,0
27,127,13,3,1,1280.6,0,13895.2,0.09766,0,0,0.0387519,113.401,0.0976601,0,0,0.0387519,122.318,7.23362,5.13505,0,42,11,43,42,11,59,22,11,22,27,0,0,0,0
28,128,13,3,1,1403,0,13895.2,0.0976598,0,0,0.0422091,105.679,0.0976601,0,0,0.0422091,103.462,7.26061,-1.60431,0,42,11,47,42,11,63,22,15,22,31,0,0,0,0
29,129,13,3,1,1525.4,0,13895.2,0.0976601,0,0,0.0452386,137.767,0.0976604,0,0,0.0452386,107.881,7.28514,-2.97889,0,42,11,79,42,11,95,23,15,23,31,0,0,0,0
30,130,13,3,1,1647.8,0,13895.2,0.0976594,0,0,0.0379902,99.5349,0.0976602,0,0,0.0379902,115.148,7.31376,-0.231249,0,42,12,15,42,12,31,24,15,24,31,0,0,0,0
31,201,13,3,2,-1901.8,0,14025.2,0.0976594,0,0,0.0396812,129.679,0.0976595,0,0,0.0396812,94.5314,7.30177,-7.21265,0,42,11,64,42,11,80,23,0,23,16,0,0,0,0
32,202,13,3,2,-1779.4,0,14025.2,0.0976595,0,0,0.0394755,142.993,0.0976598,0,0,0.0394755,107.59,7.23278,-3.03246,0,42,11,65,42,11,81,23,1,23,17,0,0,0,0
33,203,13,3,2,-1657,0,14025.2,0.0976599,0,0,0.0370925,136.831,0.0976599,0,0,0.0370925,95.5167,7.18371,0.198319,0,42,11,66,42,11,82,23,2,23,18,0,0,0,0
34,204,13,3,2,-1534.6,0,14025.2,0.0976597,0,0,0.0386837,125.32,0.0976593,0,0,0.0386837,88.0663,7.23745,-3.40093,0,42,11,67,42,11,83,23,3,23,19,0,0,0,0
35,205,13,3,2,-1412.2,0,14025.2,0.0976597,0,0,0.0398655,133.719,0.0976595,0,0,0.0398655,118.867,7.29186,1.2824,0,42,11,68,42,11,84,23,4,23,20,0,0,0,0
36,206,13,3,2,-1289.8,0,14025.2,0.0976593,0,0,0.0396876,112.19,0.0976599,0,0,0.0396876,121.185,7.16452,-4.65494,0,42,11,69,42,11,85,23,5,23,21,0,0,0,0
37,207,13,3,2,-1167.4,0,14025.2,0.0976599,0,0,0.0361678,119.756,0.0976598,0,0,0.0361678,123.373,7.2922,-1.68276,0,42,11,70,42,11,86,23,6,23,22,0,0,0,0
38,208,13,3,2,-1045,0,14025.2,0.0976599,0,0,0.0365665,102.161,0.0976595,0,0,0.0365665,122.052,7.2957,7.39571,0,42,11,71,42,11,87,23,7,23,23,0,0,0,0
39,209,13,3,2,-922.6,0,14025.2,0.0976598,0,0,0.0389949,121.309,0.0976602,0,0,0.0389949,119.181,7.3219,4.5124,0,42,11,72,42,11,88,23,8,23,24,0,0,0,0
40,210,13,3,2,-800.2,0,14025.2,0.0976597,0,0,0.041958,131.46,0.0976599,0,0,0.041958,114.686,7.17905,0.243733,0,42,11,73,42,11,89,23,9,23,25,0,0,0,0
41,211,13,3,2,-677.8,0,14025.2,0.0976601,0,0,0.0404056,145.509,0.0976602,0,0,0.0404056,124.28,7.16745,-14.4702,0,42,11,74,42,11,90,23,10,23,26,0,0,0,0
42,212,13,3,2,-555.4,0,14025.2,0.09766,0,0,0.0448335,120.043,0.0976604,0,0,0.0448335,132.773,7.19051,-7.75439,0,42,11,75,42,11,91,23,11,23,27,0,0,0,0
43,213,13,3,2,-433,0,14025.2,0.0976602,0,0,0.041719,132.126,0.0976598,0,0,0.041719,140.18,7.26743,0.0196054,0,42,11,76,42,11,92,23,12,23,28,0,0,0,0
44,214,13,3,2,-310.6,0,14025.2,0.0976599,0,0,0.0393746,126.162,0.0976601,0,0,0.0393746,121.069,7.24466,3.60354,0,42,11,77,42,11,93,23,13,23,29,0,0,0,0
45,215,13,3,2,-188.2,0,14025.2,0.0976599,0,0,0.0418406,136.461,0.0976601,0,0,0.0418406,110.567,7.24064,-0.915677,0,42,11,78,42,11,94,23,14,23,30,0,0,0,0
46,216,13,3,2,-65.8,0,14025.2,0.0976599,0,0,0.0411171,132.082,0.0976598,0,0,0.0411171,116.2,7.27885,0.122321,0,42,12,0,42,12,16,24,0,24,16,0,0,0,0
