NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TCal,TOff,tdc_geo,tdc_ch
HPC1,13,1,1,0,880,9442.3,1,0,1,0
HPC2,13,1,1,0,480,9442.3,1,0,1,1
HPC3,13,1,1,0,-70,9442.3,1,0,1,2
HPC4,13,1,1,0,-320,9442.3,1,0,1,3
HPC5,13,1,2,0,630,10252.3,1,0,1,4
HPC6,13,1,2,0,280,10252.3,1,0,1,5
HPC7,13,1,2,0,-220,10252.3,1,0,1,6
HPC8,13,1,2,0,-920,10252.3,1,0,1,7
HPC9,13,2,1,0,880,10296.8,1,0,1,8
HPC10,13,2,1,0,465,10296.8,1,0,1,9
HPC11,13,2,1,0,-70,10296.8,1,0,1,10
HPC12,13,2,1,0,-340,10296.8,1,0,1,11
HPC13,13,2,2,0,595,11106.8,1,0,1,12
HPC14,13,2,2,0,196,11106.8,1,0,1,13
HPC15,13,2,2,0,-207,11106.8,1,0,1,14
HPC16,13,2,2,0,-1287,11106.8,1,0,1,15
