NAME,FPL,tcal_left,tcal_right,zpos,t_fpl,tleft_geo,tleft_ch,tright_geo,tright_ch,q_fpl,qleft_geo,qleft_ch,qright_geo,qright_ch,tdc_overflow,t_det,q_det
Sva03_1_ch21,63,0,0,0,63,6,21,-1,-1,63,-2,21,-1,-1,65536,3,2
Sva03_1_ch22,63,0,0,0,63,6,22,-1,-1,63,-2,22,-1,-1,65536,3,2
Sva03_1_ch23,63,0,0,0,63,6,23,-1,-1,63,-2,23,-1,-1,65536,3,2
Sva03_1_ch24,63,0,0,0,63,6,24,-1,-1,63,-2,24,-1,-1,65536,3,2
Sva03_1_ch25,63,0,0,0,63,6,25,-1,-1,63,-2,25,-1,-1,65536,3,2
Sva03_1_ch26,63,0,0,0,63,6,26,-1,-1,63,-2,26,-1,-1,65536,3,2
Sva03_1_ch27,63,0,0,0,63,6,27,-1,-1,63,-2,27,-1,-1,65536,3,2
Sva03_1_ch28,63,0,0,0,63,6,28,-1,-1,63,-2,28,-1,-1,65536,3,2
Sva03_1_ch29,63,0,0,0,63,6,29,-1,-1,63,-2,29,-1,-1,65536,3,2
Sva03_1_ch30,63,0,0,0,63,6,30,-1,-1,63,-2,30,-1,-1,65536,3,2
Sva03_1_ch31,63,0,0,0,63,6,31,-1,-1,63,-2,31,-1,-1,65536,3,2
