NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-30.8446,0.0312507,-31.0226,0.0312506,172.213,0.0236479296,153.375,0.0249221184,32,5,0,5,16,31,3,0,3,16
HODF2,13,-31.2814,0.0312507,-31.3673,0.0312504,176.867,0.0258846064,170.314,0.0242800952,32,5,1,5,17,31,3,1,3,17
HODF3,13,-31.2233,0.0312507,-31.0531,0.0312506,200.708,0.0271798217,166.551,0.0227536463,32,5,2,5,18,31,3,2,3,18
HODF4,13,-31.4124,0.0312506,-31.4253,0.0312506,188.521,0.0256548398,178.34,0.0249003984,32,5,3,5,19,31,3,3,3,19
HODF5,13,-30.6021,0.0312508,-30.6678,0.0312508,154.26,0.0226039783,171.143,0.0215717152,32,5,4,5,20,31,3,4,3,20
HODF6,13,-30.9896,0.0312506,-31.076,0.0312507,172.23,0.0231107003,182.451,0.0217159982,32,5,5,5,21,31,3,5,3,21
HODF7,13,-29.9345,0.0312506,-29.7399,0.0312508,172.754,0.0218598347,183.783,0.0279978722,32,5,6,5,22,31,3,6,3,22
HODF8,13,-30.3107,0.0312507,-29.7603,0.0312508,175.628,0.0257254579,192.801,0.0272486989,32,5,7,5,23,31,3,7,3,23
HODF9,13,-29.7708,0.0312505,-29.3654,0.0312508,180.456,0.0237846066,184.389,0.0262391436,32,5,8,5,24,31,3,8,3,24
HODF10,13,-30.4823,0.0312508,-30.1298,0.0312507,196.181,0.0254329968,190.11,0.0260484501,32,5,9,5,25,31,3,9,3,25
HODF11,13,-30.0224,0.0312508,-29.9283,0.0312504,191.19,0.0261028452,201.729,0.0245272375,32,5,10,5,26,31,3,10,3,26
HODF12,13,-30.4922,0.0312504,-30.3345,0.0312506,203.465,0.0262915736,216.491,0.0249943763,32,5,11,5,27,31,3,11,3,27
HODF13,13,-31.036,0.0312507,-31.0904,0.0312505,181.109,0.0267444037,194.63,0.0257267816,32,5,12,5,28,31,3,12,3,28
HODF14,13,-31.6144,0.0312505,-31.6412,0.0312506,178.671,0.0279103519,200.476,0.024375975,32,5,13,5,29,31,3,13,3,29
HODF15,13,-31.1956,0.0312507,-31.0034,0.0312506,198.703,0.0245116062,195.833,0.025861846,32,5,14,5,30,31,3,14,3,30
HODF16,13,-31.3364,0.0312505,-31.1096,0.0312508,191.424,0.0249525901,208.772,0.0228686425,32,5,15,5,31,31,3,15,3,31
HODF17,13,-34.4193,0.0312509,-34.5849,0.0312506,147.408,0.0184870221,170.969,0.0240783993,32,6,0,6,8,31,4,0,4,8
HODF18,13,-34.1462,0.0312505,-34.5116,0.0312508,148.178,0.0230829602,169.126,0.023599377,32,6,1,6,9,31,4,1,4,9
HODF19,13,-34.207,0.0312505,-34.344,0.0312506,163.511,0.0243967894,176.639,0.0250871779,32,6,2,6,10,31,4,2,4,10
HODF20,13,-34.2383,0.0312507,-34.2031,0.0312508,174.003,0.0240981276,184.899,0.0246299352,32,6,3,6,11,31,4,3,4,11
HODF21,13,-33.5831,0.0312505,-34.1636,0.0312507,171.72,0.0251382604,156.813,0.0251971678,32,6,4,6,12,31,4,4,4,12
HODF22,13,-34.0241,0.0312506,-34.02,0.0312509,185.212,0.0180871075,167.19,0.0220701832,32,6,5,6,13,31,4,5,4,13
HODF23,13,-33.6014,0.0312508,-33.6129,0.0312508,195.738,0.0287670445,160.818,0.0252003427,32,6,6,6,14,31,4,6,4,14
HODF24,13,-33.7842,0.0312506,-33.617,0.0312505,199.048,0.0247206566,163.104,0.0247549262,32,6,7,6,15,31,4,7,4,15
HODP1,13,-16.7673,0.0812775,-18.4719,0.0805371,184.369,0.0383921373,235.444,0.0346056684,34,2,0,2,16,33,1,0,1,16
HODP2,13,-15.7946,0.0828149,-14.2897,0.0832468,256.425,0.0392665017,204.567,0.0408396635,34,2,1,2,17,33,1,1,1,17
HODP3,13,-18.0046,0.0812741,-16.0292,0.0810445,232.3,0.0383332694,184.839,0.0422261633,34,2,2,2,18,33,1,2,1,18
HODP4,13,-16.006,0.0805255,-14.8139,0.0815567,257.474,0.0406025417,255.304,0.0828569061,34,2,3,2,19,33,1,3,1,19
HODP5,13,-15.3899,0.0820637,-13.5536,0.0803665,260.034,0.0412303125,178.99,0.0475443351,34,2,4,2,20,33,1,4,1,20
HODP6,13,-17.5493,0.0820955,-17.2866,0.0809689,211.112,0.041694463,229.77,0.0488472059,34,2,5,2,21,33,1,5,1,21
HODP7,13,-14.9211,0.0828076,-13.6242,0.0809246,214.888,0.0402301163,267.103,0.0399201597,34,2,6,2,22,33,1,6,1,22
HODP8,13,-13.9723,0.0804894,-14.7265,0.0818464,249.16,0.0458505273,235.987,0.0419973962,34,2,7,2,23,33,1,7,1,23
HODP9,13,-14.4084,0.0821076,-15.2779,0.0806419,226.482,0.0447107216,202.118,0.0418935903,34,2,8,2,24,33,1,8,1,24
HODP10,13,-19.5874,0.0821697,-19.9912,0.0813984,207.388,0.033666633,232.701,0.0419076356,34,2,9,2,25,33,1,9,1,25
HODP11,13,-15.0811,0.0821846,-14.9841,0.0814027,220.355,0.0346164497,236.838,0.0398390502,34,2,10,2,26,33,1,10,1,26
HODP12,13,-13.9952,0.0807021,-15.5755,0.0831616,209.988,0.0332314236,208.585,0.0391236307,34,2,11,2,27,33,1,11,1,27
HODP13,13,-13.5271,0.0816408,-15.9405,0.0815349,180.917,0.0377843271,231.477,0.0425568133,34,2,12,2,28,33,1,12,1,28
HODP14,13,-13.6665,0.0812044,-15.5911,0.0824547,239.534,0.0366273533,191.386,0.0372953418,34,2,13,2,29,33,1,13,1,29
HODP15,13,-13.852,0.0836686,-15.0632,0.0807266,214.561,0.0342383675,207.226,0.037627935,34,2,14,2,30,33,1,14,1,30
HODP16,13,-14.7912,0.0818517,-14.4612,0.0816939,206.619,0.037870181,185.312,0.0375572748,34,2,15,2,31,33,1,15,1,31
HODS1,13,-18.4058,0.0675948,-18.288,0.0680817,83.5074,0.026808214,72.8854,0.029468702,40,9,0,9,8,39,8,0,8,8
HODS2,13,-17.8258,0.067487,-13.755,0.0686135,73.3466,0.037514356,64.3548,0.026724117,40,9,1,9,9,39,8,1,8,9
HODS3,13,-17.1487,0.067955,-14.9722,0.0698075,62.8575,0.03238463,12,0.026564007,40,9,2,9,10,39,8,2,8,10
HODS4,13,-17.3498,0.0676976,-13.4554,0.0678051,69.881,0.028187949,79.0483,0.029577923,40,9,3,9,11,39,8,3,8,11
HODS5,13,-16.2111,0.0675751,-16.3383,0.0676123,87.746,0.032294927,80.9422,0.028225404,40,9,4,9,12,39,8,4,8,12
HODS6,13,-15.0776,0.067257,-14.1213,0.0678912,82.705,0.032262067,72.295,0.02615431,40,9,5,9,13,39,8,5,8,13
HODS7,13,-15.7123,0.0688482,-13.6298,0.0688396,59.1008,0.032582107,63.3967,0.029814257,40,9,6,9,14,39,8,6,8,14
