NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
203,13,1,2,-1657,0,14025.2,0.0648411,0,41,0.0471201,186.847,0.0653668,0,41,0.050099,204.632,75.8571,542.989,387.672,13,2,23,2,14,2,24,2,0
204,13,1,2,-1534.6,0,14025.2,0.0647099,0,40.973,0.0499445,146.623,0.0659436,0,40,0.0482855,88.2479,76.2366,-101.353,385.781,13,3,23,3,14,3,24,3,0
205,13,1,2,-1412.2,0,14025.2,0.0646312,0,40.673,0.0475556,211.221,0.0645273,0,40,0.0504459,165.547,76.2603,178.093,385.963,13,4,23,4,14,4,24,4,0
206,13,1,2,-1289.8,0,14025.2,0.065134,0,39.7,0.0497066,160.291,0.066297,0,39.1,0.0483026,97.5598,76.6329,-173.012,386.669,13,5,23,5,14,5,24,5,0
207,13,1,2,-1167.4,0,14025.2,0.0652086,0,41.09,0.0467914,197.066,0.0656605,0,41.09,0.0470369,119.347,77.5206,-25.2331,386.539,13,6,23,6,14,6,24,6,0
208,13,1,2,-1045,0,14025.2,0.0657596,0,40.7,0.0484645,217.012,0.0655778,0,40.7,0.0462277,75.694,77.2911,81.7811,385.281,13,7,23,7,14,7,24,7,0
209,13,1,2,-922.6,0,14025.2,0.0641342,0,39.973,0.0466281,228.869,0.0649546,0,40.4,0.0492823,138.733,76.9548,282.991,385.578,13,8,23,8,14,8,24,8,0
210,13,1,2,-800.2,0,14025.2,0.0635628,0,39.673,0.0515023,206.019,0.0661421,0,40,0.0511961,130.832,76.2718,-394.646,387.234,13,9,23,9,14,9,24,9,0
211,13,1,2,-677.8,0,14025.2,0.0656,0,40,0.0515472,232.324,0.065209,0,40,0.0452679,245.751,77.2961,-41.2213,383.322,13,10,23,10,14,10,24,10,0
212,13,1,2,-555.4,0,14025.2,0.0650396,0,40,0.0528998,153.934,0.0652435,0,41,0.0495919,170.926,77.0462,-75.2254,388.133,13,11,23,11,14,11,24,11,0
213,13,1,2,-433,0,14025.2,0.0655097,0,39.673,0.0474194,115.643,0.0660831,0,41,0.0492212,204.311,77.0912,-29.5147,388.554,13,12,23,12,14,12,24,12,0
214,13,1,2,-310.6,0,14025.2,0.0651314,0,40.063,0.0490943,152.084,0.0650987,0,41.09,0.0482942,156.603,76.3689,-25.76,388.41,13,13,23,13,14,13,24,13,0
215,13,1,2,-188.2,0,14025.2,0.0650631,0,41.09,0.0503789,204.762,0.0657633,0,42,0.0506563,247.206,76.5096,-221.567,384.607,13,14,23,14,14,14,24,14,0
216,13,1,2,-65.8,0,14025.2,0.0645252,0,40.4,0.0485358,124.499,0.0666692,0,41,0.0511009,175.09,76.0053,-169.714,380.799,13,16,23,16,14,16,24,16,0
