NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,det,geo,ch
FDC3K_0_0,13,0,85,X,0,-9999,-9999,30,8,112
FDC3K_0_1,13,0,85,X,1,260,-1130,30,8,113
FDC3K_0_2,13,0,85,X,2,220,-1130,30,8,114
FDC3K_0_3,13,0,85,X,3,180,-1130,30,8,115
FDC3K_0_4,13,0,85,X,4,140,-1130,30,8,116
FDC3K_0_5,13,0,85,X,5,100,-1130,30,8,117
FDC3K_0_6,13,0,85,X,6,60,-1130,30,8,118
FDC3K_0_7,13,0,85,X,7,20,-1130,30,8,119
FDC3K_0_8,13,0,85,X,8,-20,-1130,30,8,120
FDC3K_0_9,13,0,85,X,9,-60,-1130,30,8,121
FDC3K_0_10,13,0,85,X,10,-100,-1130,30,8,122
FDC3K_0_11,13,0,85,X,11,-140,-1130,30,8,123
FDC3K_0_12,13,0,85,X,12,-180,-1130,30,8,124
FDC3K_0_13,13,0,85,X,13,-220,-1130,30,8,125
FDC3K_0_14,13,0,85,X,14,-260,-1130,30,8,126
FDC3K_0_15,13,0,85,X,15,-9999,-9999,30,8,127
FDC3K_1_1,13,1,86,Y,1,140,-1080,30,7,1
FDC3K_1_2,13,1,86,Y,2,100,-1080,30,7,2
FDC3K_1_3,13,1,86,Y,3,60,-1080,30,7,3
FDC3K_1_4,13,1,86,Y,4,20,-1080,30,7,4
FDC3K_1_5,13,1,86,Y,5,-20,-1080,30,7,5
FDC3K_1_6,13,1,86,Y,6,-60,-1080,30,7,6
FDC3K_1_7,13,1,86,Y,7,-100,-1080,30,7,7
FDC3K_1_8,13,1,86,Y,8,-140,-1080,30,7,8
FDC3K_1_9,13,1,86,Y,9,-180,-1080,30,7,9
FDC3K_1_10,13,1,86,Y,10,-9999,-9999,30,7,10
FDC3K_1_11,13,1,86,Y,11,-9999,-9999,30,7,11
FDC3K_1_12,13,1,86,Y,12,-9999,-9999,30,7,12
FDC3K_1_13,13,1,86,Y,13,-9999,-9999,30,7,13
FDC3K_1_14,13,1,86,Y,14,-9999,-9999,30,7,14
FDC3K_1_15,13,1,86,Y,15,-9999,-9999,30,7,15
FDC3K_2_0,13,2,87,X,0,280,-1030,30,7,16
FDC3K_2_1,13,2,87,X,1,240,-1030,30,7,17
FDC3K_2_2,13,2,87,X,2,200,-1030,30,7,18
FDC3K_2_3,13,2,87,X,3,160,-1030,30,7,19
FDC3K_2_4,13,2,87,X,4,120,-1030,30,7,20
FDC3K_2_5,13,2,87,X,5,80,-1030,30,7,21
FDC3K_2_6,13,2,87,X,6,40,-1030,30,7,22
FDC3K_2_7,13,2,87,X,7,0,-1030,30,7,23
FDC3K_2_8,13,2,87,X,8,-40,-1030,30,7,24
FDC3K_2_9,13,2,87,X,9,-80,-1030,30,7,25
FDC3K_2_10,13,2,87,X,10,-120,-1030,30,7,26
FDC3K_2_11,13,2,87,X,11,-160,-1030,30,7,27
FDC3K_2_12,13,2,87,X,12,-200,-1030,30,7,28
FDC3K_2_13,13,2,87,X,13,-240,-1030,30,7,29
FDC3K_2_14,13,2,87,X,14,-280,-1030,30,7,30
FDC3K_2_15,13,2,87,X,15,-9999,-9999,30,7,31
FDC3K_3_0,13,3,88,Y,0,-9999,-9999,30,7,32
FDC3K_3_1,13,3,88,Y,1,160,-980,30,7,33
FDC3K_3_2,13,3,88,Y,2,120,-980,30,7,34
FDC3K_3_3,13,3,88,Y,3,80,-980,30,7,35
FDC3K_3_4,13,3,88,Y,4,40,-980,30,7,36
FDC3K_3_5,13,3,88,Y,5,0,-980,30,7,37
FDC3K_3_6,13,3,88,Y,6,-40,-980,30,7,38
FDC3K_3_7,13,3,88,Y,7,-80,-980,30,7,39
FDC3K_3_8,13,3,88,Y,8,-120,-980,30,7,40
FDC3K_3_9,13,3,88,Y,9,-160,-980,30,7,41
FDC3K_3_10,13,3,88,Y,10,-9999,-9999,30,7,42
FDC3K_3_11,13,3,88,Y,11,-9999,-9999,30,7,43
FDC3K_3_12,13,3,88,Y,12,-9999,-9999,30,7,44
FDC3K_3_13,13,3,88,Y,13,-9999,-9999,30,7,45
FDC3K_3_14,13,3,88,Y,14,-9999,-9999,30,7,46
FDC3K_3_15,13,3,88,Y,15,-9999,-9999,30,7,47
FDC3K_4_0,13,4,89,X,0,280,-930,30,7,48
FDC3K_4_1,13,4,89,X,1,240,-930,30,7,49
FDC3K_4_2,13,4,89,X,2,200,-930,30,7,50
FDC3K_4_3,13,4,89,X,3,160,-930,30,7,51
FDC3K_4_4,13,4,89,X,4,120,-930,30,7,52
FDC3K_4_5,13,4,89,X,5,80,-930,30,7,53
FDC3K_4_6,13,4,89,X,6,40,-930,30,7,54
FDC3K_4_7,13,4,89,X,7,0,-930,30,7,55
FDC3K_4_8,13,4,89,X,8,-40,-930,30,7,56
FDC3K_4_9,13,4,89,X,9,-80,-930,30,7,57
FDC3K_4_10,13,4,89,X,10,-120,-930,30,7,58
FDC3K_4_11,13,4,89,X,11,-160,-930,30,7,59
FDC3K_4_12,13,4,89,X,12,-200,-930,30,7,60
FDC3K_4_13,13,4,89,X,13,-240,-930,30,7,61
FDC3K_4_14,13,4,89,X,14,-280,-930,30,7,62
FDC3K_4_15,13,4,89,X,15,-9999,-9999,30,7,63
FDC3K_5_0,13,5,90,Y,0,-9999,-9999,30,7,64
FDC3K_5_1,13,5,90,Y,1,160,-880,30,7,65
FDC3K_5_2,13,5,90,Y,2,120,-880,30,7,66
FDC3K_5_3,13,5,90,Y,3,80,-880,30,7,67
FDC3K_5_4,13,5,90,Y,4,40,-880,30,7,68
FDC3K_5_5,13,5,90,Y,5,0,-880,30,7,69
FDC3K_5_6,13,5,90,Y,6,-40,-880,30,7,70
FDC3K_5_7,13,5,90,Y,7,-80,-880,30,7,71
FDC3K_5_8,13,5,90,Y,8,-120,-880,30,7,72
