NAME,FPL,a_ch2ns,x1_ch2ns,y1_ch2ns,x2_ch2ns,y2_ch2ns,xfactor,yfactor,xoffset,yoffset,xns_off,yns_off,xpos_off,ypos_off,xzpos,yzpos,tdc_overflow,txsum_min,txsum_max,tysum_min,tysum_max,Tx1_geo,Tx1_ch,Tx2_geo,Tx2_ch,Ty1_geo,Ty1_ch,Ty2_geo,Ty2_ch,Ta_geo,Ta_ch,Qx1_geo,Qx1_ch,Qx2_geo,Qx2_ch,Qy1_geo,Qy1_ch,Qy2_geo,Qy2_ch,Qa_geo,Qa_ch
F1PPAC-1,1,0.151595,0.141179,0.147747,0.144717,0.14362,1.232,1.233,1.24,1.28,3.31,2.78,0,0,178.5,187.1,4000,-2000,2000,-2000,2000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F1PPAC-2,1,0.147348,0.149795,0.14605,0.146158,0.148486,1.231,1.238,0.86,0.77,9.01,3.85,0.871,0,498.5,507.1,4000,-2000,2000,-2000,2000,0,6,0,8,0,7,0,9,0,5,0,6,0,8,0,7,0,9,0,5
F2PPAC-1,2,0.147454,0.150245,0.153647,0.15275,0.149455,1.229,1.233,0.75,0.63,-17.83,23.08,0,0,-895.1,-866.58,4000,-2000,2000,-2000,2000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F2PPAC-2,2,0.14977,0.145529,0.146329,0.15176,0.145154,1.225,1.232,0.84,0.46,3.12,-13.73,-0.5876,0,56.5,65.1,4000,-2000,2000,-2000,2000,0,6,0,8,0,7,0,9,0,5,0,6,0,8,0,7,0,9,0,5
F3PPAC-1A,3,0.147696,0.151096,0.148212,0.147478,0.150747,1.238,-1.224,0.79,-0.85,-4.72,-3.54,1.046,0,271.3,279.9,4000,-1000,1000,-1000,1000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F3PPAC-1B,3,0.144662,0.151345,0.14818,0.15148,0.146174,1.236,-1.227,1.1,-0.48,-11.4,16.33,0.5747,0,308.7,300.1,4000,-1000,1000,-1000,1000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F3PPAC-2A,3,0.150818,0.146298,0.148608,0.151626,0.150946,1.234,-1.236,1.18,-0.25,9.79,10.17,1.9789,0,871.3,879.9,4000,-1000,1000,-1000,1000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F3PPAC-2B,3,0.149367,0.146958,0.144238,0.148189,0.146956,1.225,-1.236,1.17,-0.39,6.96,8.05,1.764,0,908.7,900.1,4000,-1000,1000,-1000,1000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F4PPAC,4,0.150414,0.14868,0.149443,0.147131,0.149318,1.231,1.226,0.86,0.01,7.64,17.62,-3.115,0,96.5,105.1,4000,-1000,1000,-1000,1000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F5PPAC-1A,5,0.140546,0.151622,0.145979,0.147927,0.146828,1.231,-1.23,1.08,-0.46,13.66,22.86,0,0,-418.7,-410.1,4000,-1000,1000,-1000,1000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F5PPAC-1B,5,0.141985,0.151959,0.152978,0.144341,0.151408,1.226,-1.231,0.99,-0.13,14.38,0.79,0,0,-381.3,-389.9,4000,-1000,1000,-1000,1000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F5PPAC-2A,5,0.144636,0.146886,0.148598,0.147218,0.150814,1.227,-1.229,1.46,-0.51,-14.86,13.09,-0.15,0,231.3,239.9,4000,-1000,1000,-1000,1000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
