ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
1,101,13,3,1,-1901.8,0,13895.2,0.0976605,0,49.4757,0.0422378,129.739,0.09766,0,49.4757,0.042533,111.882,7.2441,-13.8142,0,42,11,0,42,11,16,21,0,21,16,0,0,0,0
2,102,13,3,1,-1779.4,0,13895.2,0.0976599,0,49.4757,0.0396333,138.677,0.0976596,0,49.4757,0.0429584,121.283,7.22504,-8.64384,0,42,11,1,42,11,17,21,1,21,17,0,0,0,0
3,103,13,3,1,-1657,0,13895.2,0.0976597,0,49.4757,0.0351039,139.914,0.0976598,0,49.4757,0.0363455,105.789,7.25602,-13.3034,0,42,11,2,42,11,18,21,2,21,18,0,0,0,0
4,104,13,3,1,-1534.6,0,13895.2,0.0976594,0,49.4757,0.0382552,120.659,0.0976598,0,49.4757,0.04092,123.841,7.26504,-14.9708,0,42,11,3,42,11,19,21,3,21,19,0,0,0,0
5,105,13,3,1,-1412.2,0,13895.2,0.0976601,0,49.4757,0.0409012,131.57,0.0976599,0,49.4757,0.0433224,111.2,7.29436,-7.78721,0,42,11,4,42,11,20,21,4,21,20,0,0,0,0
6,106,13,3,1,-1289.8,0,13895.2,0.09766,0,49.4757,0.0346061,128.208,0.0976605,0,49.4757,0.0425354,108.931,7.27976,-11.2398,0,42,11,5,42,11,21,21,5,21,21,0,0,0,0
7,107,13,3,1,-1167.4,0,13895.2,0.0976597,0,49.4757,0.0365256,135.831,0.0976601,0,49.4757,0.0428142,116.209,7.20907,-12.2911,0,42,11,6,42,11,22,21,6,21,22,0,0,0,0
8,108,13,3,1,-1045,0,13895.2,0.097659,0,49.4757,0.0415242,129.433,0.0976603,0,49.4757,0.039534,100.212,7.16802,-14.4048,0,42,11,7,42,11,23,21,7,21,23,0,0,0,0
9,109,13,3,1,-922.6,0,13895.2,0.0976591,0,49.4757,0.0313298,138.31,0.0976602,0,49.4757,0.0421875,81.6582,7.05823,-25.0874,0,42,11,8,42,11,24,21,8,21,24,0,0,0,0
10,110,13,3,1,-800.2,0,13895.2,0.097661,0,49.4757,0.0355287,134.265,0.0976599,0,49.4757,0.0412429,106.134,7.15656,-4.97465,0,42,11,9,42,11,25,21,9,21,25,0,0,0,0
11,111,13,3,1,-677.8,0,13895.2,0.0976599,0,49.4757,0.0345797,134.985,0.0976604,0,49.4757,0.0357349,103.035,7.18148,-10.8167,0,42,11,10,42,11,26,21,10,21,26,0,0,0,0
12,112,13,3,1,-555.4,0,13895.2,0.0976602,0,49.4757,0.03847,142.201,0.0976602,0,49.4757,0.0421997,118.82,7.2183,-17.7449,0,42,11,11,42,11,27,21,11,21,27,0,0,0,0
13,113,13,3,1,-433,0,13895.2,0.0976601,0,49.4757,0.0347064,128.537,0.0976598,0,49.4757,0.041243,92.0297,7.22569,-15.6112,0,42,11,12,42,11,28,21,12,21,28,0,0,0,0
14,114,13,3,1,-310.6,0,13895.2,0.0976601,0,49.4757,0.0382272,136.393,0.0976598,0,49.4757,0.038731,103.189,7.11248,-8.12252,0,42,11,13,42,11,29,21,13,21,29,0,0,0,0
15,115,13,3,1,-188.2,0,13895.2,0.0976591,0,49.4757,0.0404801,127.587,0.0976605,0,49.4757,0.0438576,106.273,7.16611,-13.1742,0,42,11,14,42,11,30,21,14,21,30,0,0,0,0
16,116,13,3,1,-65.8,0,13895.2,0.0976596,0,49.4757,0.0417527,137.484,0.0976595,0,49.4757,0.0386004,117.628,7.24999,4.26628,0,42,11,32,42,11,48,22,0,22,16,0,0,0,0
17,117,13,3,1,56.6,0,13895.2,0.0976593,0,49.4757,0.0412282,129.818,0.0976599,0,49.4757,0.0431974,125.035,7.2738,7.23931,0,42,11,33,42,11,49,22,1,22,17,0,0,0,0
18,118,13,3,1,179,0,13895.2,0.0976596,0,49.4757,0.0392383,127.17,0.0976598,0,49.4757,0.0367756,112.031,7.28733,9.2523,0,42,11,34,42,11,50,22,2,22,18,0,0,0,0
19,119,13,3,1,301.4,0,13895.2,0.0976594,0,49.4757,0.0410442,111.614,0.0976596,0,49.4757,0.0378001,99.3829,7.29528,4.39183,0,42,11,35,42,11,51,22,3,22,19,0,0,0,0
20,120,13,3,1,423.8,0,13895.2,0.0976596,0,49.4757,0.041357,135.497,0.0976595,0,49.4757,0.0424537,128.939,7.26097,6.51947,0,42,11,36,42,11,52,22,4,22,20,0,0,0,0
21,121,13,3,1,546.2,0,13895.2,0.0976599,0,49.4757,0.0367756,130.98,0.0976601,0,49.4757,0.0361804,126.148,7.3356,0.221057,0,42,11,37,42,11,53,22,5,22,21,0,0,0,0
22,122,13,3,1,668.6,0,13895.2,0.0976598,0,49.4757,0.0369194,124.108,0.0976603,0,49.4757,0.0381907,128.242,7.28842,8.26988,0,42,11,38,42,11,54,22,6,22,22,0,0,0,0
23,123,13,3,1,791,0,13895.2,0.0976607,0,49.4757,0.0403837,118.434,0.0976599,0,49.4757,0.0394528,118.383,7.32858,4.68952,0,42,11,39,42,11,55,22,7,22,23,0,0,0,0
24,124,13,3,1,913.4,0,13895.2,0.0976599,0,49.4757,0.0405861,112.076,0.0976601,0,49.4757,0.0392912,139.818,7.25819,3.80393,0,42,11,40,42,11,56,22,8,22,24,0,0,0,0
