ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
1,101,13,3,1,-1901.8,0,13895.2,0.0976636,0,0,0.0463828,131.325,0.0976641,0,0,0.0476875,109.035,1,-20.44295365,0,42,11,0,42,11,16,21,0,21,16,0,0,0,0
2,102,13,3,1,-1779.4,0,13895.2,0.0976642,0,0,0.0456063,137.011,0.0976644,0,0,0.0476616,121.512,1,-14.70571854,0,42,11,1,42,11,17,21,1,21,17,0,0,0,0
3,103,13,3,1,-1657,0,13895.2,0.0976641,0,0,0.0419858,140.004,0.0976642,0,0,0.0416019,102.769,1,-19.78577144,0,42,11,2,42,11,18,21,2,21,18,0,0,0,0
4,104,13,3,1,-1534.6,0,13895.2,0.0976638,0,0,0.044349,123.099,0.0976639,0,0,0.0463813,128.764,1,-22.21391228,0,42,11,3,42,11,19,21,3,21,19,0,0,0,0
5,105,13,3,1,-1412.2,0,13895.2,0.0976644,0,0,0.0463205,132.679,0.0976641,0,0,0.0483439,109.968,1,-13.56726285,0,42,11,4,42,11,20,21,4,21,20,0,0,0,0
6,106,13,3,1,-1289.8,0,13895.2,0.0976643,0,0,0.0415417,127.42,0.0976641,0,0,0.0473313,107.054,1,-17.16394503,0,42,11,5,42,11,21,21,5,21,21,0,0,0,0
7,107,13,3,1,-1167.4,0,13895.2,0.0976641,0,0,0.044158,136.045,0.0976641,0,0,0.0479538,116.825,1,-18.94779144,0,42,11,6,42,11,22,21,6,21,22,0,0,0,0
8,108,13,3,1,-1045,0,13895.2,0.0976644,0,0,0.0471282,127.382,0.0976639,0,0,0.0451746,102.311,1,-19.36201421,0,42,11,7,42,11,23,21,7,21,23,0,0,0,0
9,109,13,3,1,-922.6,0,13895.2,0.0976645,0,0,0.0380553,138.438,0.0976638,0,0,0.046306,85.3051,1,-33.80861918,0,42,11,8,42,11,24,21,8,21,24,0,0,0,0
10,110,13,3,1,-800.2,0,13895.2,0.0976642,0,0,0.0425455,133.736,0.0976642,0,0,0.0462285,104.641,1,-11.01029153,0,42,11,9,42,11,25,21,9,21,25,0,0,0,0
11,111,13,3,1,-677.8,0,13895.2,0.0976647,0,0,0.0414721,135.029,0.0976637,0,0,0.0418221,105.626,1,-16.97340133,0,42,11,10,42,11,26,21,10,21,26,0,0,0,0
12,112,13,3,1,-555.4,0,13895.2,0.097664,0,0,0.0455852,143.254,0.097664,0,0,0.0471996,121.145,1,-24.55694052,0,42,11,11,42,11,27,21,11,21,27,0,0,0,0
13,113,13,3,1,-433,0,13895.2,0.0976644,0,0,0.0413339,130.414,0.0976634,0,0,0.0465832,99.1224,1,-17.4703595,0,42,11,12,42,11,28,21,12,21,28,0,0,0,0
14,114,13,3,1,-310.6,0,13895.2,0.0976641,0,0,0.0440183,135.931,0.0976636,0,0,0.0446841,103.529,1,-14.25418558,0,42,11,13,42,11,29,21,13,21,29,0,0,0,0
15,115,13,3,1,-188.2,0,13895.2,0.097664,0,0,0.0474045,128.577,0.097664,0,0,0.0492015,105.792,1,-19.34335119,0,42,11,14,42,11,30,21,14,21,30,0,0,0,0
16,116,13,3,1,-65.8,0,13895.2,0.0976636,0,0,0.0483786,124.776,0.0976639,0,0,0.043846,118.068,1,-0.83200116,0,42,11,44,42,11,60,22,12,22,28,0,0,0,0
17,117,13,3,1,56.6,0,13895.2,0.097664,0,0,0.0471213,128.38,0.0976642,0,0,0.0487208,124.101,1,1.753693354,0,42,11,33,42,11,49,22,1,22,17,0,0,0,0
