NAME,plane,bar,t_type,channel,ns
NEULAND_TCAL,1,1,6,3015.000000,21.549801
NEULAND_TCAL,1,1,6,3068.000000,22.171801
NEULAND_TCAL,1,1,6,3098.000000,22.522499
NEULAND_TCAL,1,1,6,3196.000000,23.648701
NEULAND_TCAL,1,1,6,3233.000000,24.094999
NEULAND_TCAL,1,1,6,3263.000000,24.508801
NEULAND_TCAL,1,1,6,3274.000000,24.733601
NEULAND_TCAL,1,1,6,3278.000000,24.859400
NEULAND_TCAL,1,1,6,3280.000000,24.982300
NEULAND_TCAL,1,1,6,3281.000000,24.998199
NEULAND_TCAL,1,2,1,1358.000000,0.000000
NEULAND_TCAL,1,2,1,1363.000000,0.031100
NEULAND_TCAL,1,2,1,1511.000000,1.915600
NEULAND_TCAL,1,2,1,1609.000000,3.194500
NEULAND_TCAL,1,2,1,1675.000000,4.060800
NEULAND_TCAL,1,2,1,1758.000000,5.128800
NEULAND_TCAL,1,2,1,1870.000000,6.537900
NEULAND_TCAL,1,2,1,1977.000000,7.933700
NEULAND_TCAL,1,2,1,2003.000000,8.272300
NEULAND_TCAL,1,2,1,2054.000000,8.945700
NEULAND_TCAL,1,2,1,2120.000000,9.802900
NEULAND_TCAL,1,2,1,2217.000000,11.037800
NEULAND_TCAL,1,2,1,2282.000000,11.856600
NEULAND_TCAL,1,2,1,2388.000000,13.253000
NEULAND_TCAL,1,2,1,2442.000000,13.961200
NEULAND_TCAL,1,2,1,2474.000000,14.376200
NEULAND_TCAL,1,2,1,2518.000000,14.964700
NEULAND_TCAL,1,2,1,2574.000000,15.683100
NEULAND_TCAL,1,2,1,2693.000000,17.176399
NEULAND_TCAL,1,2,1,2759.000000,18.037100
NEULAND_TCAL,1,2,1,2811.000000,18.710600
NEULAND_TCAL,1,2,1,2890.000000,19.722799
NEULAND_TCAL,1,2,1,3002.000000,21.130501
NEULAND_TCAL,1,2,1,3054.000000,21.774700
NEULAND_TCAL,1,2,1,3187.000000,23.499800
NEULAND_TCAL,1,2,1,3226.000000,24.018801
NEULAND_TCAL,1,2,1,3250.000000,24.377001
NEULAND_TCAL,1,2,1,3265.000000,24.662100
NEULAND_TCAL,1,2,1,3270.000000,24.817699
NEULAND_TCAL,1,2,1,3271.000000,24.867300
NEULAND_TCAL,1,2,1,3272.000000,24.947800
NEULAND_TCAL,1,2,1,3273.000000,24.995701
NEULAND_TCAL,1,2,1,3274.000000,24.998199
NEULAND_TCAL,1,2,2,1118.000000,0.000000
NEULAND_TCAL,1,2,2,1166.000000,0.529300
NEULAND_TCAL,1,2,2,1262.000000,1.606500
NEULAND_TCAL,1,2,2,1345.000000,2.576100
NEULAND_TCAL,1,2,2,1425.000000,3.497400
NEULAND_TCAL,1,2,2,1465.000000,3.954000
NEULAND_TCAL,1,2,2,1559.000000,5.013600
NEULAND_TCAL,1,2,2,1669.000000,6.261300
NEULAND_TCAL,1,2,2,1769.000000,7.397300
NEULAND_TCAL,1,2,2,1827.000000,8.069400
NEULAND_TCAL,1,2,2,1876.000000,8.630900
NEULAND_TCAL,1,2,2,1916.000000,9.106800
NEULAND_TCAL,1,2,2,1996.000000,10.017100
NEULAND_TCAL,1,2,2,2189.000000,12.215400
NEULAND_TCAL,1,2,2,2235.000000,12.760200
NEULAND_TCAL,1,2,2,2266.000000,13.111300
NEULAND_TCAL,1,2,2,2325.000000,13.798900
NEULAND_TCAL,1,2,2,2442.000000,15.158300
NEULAND_TCAL,1,2,2,2505.000000,15.880600
NEULAND_TCAL,1,2,2,2592.000000,16.845501
NEULAND_TCAL,1,2,2,2668.000000,17.709999
NEULAND_TCAL,1,2,2,2766.000000,18.828100
NEULAND_TCAL,1,2,2,2800.000000,19.208200
NEULAND_TCAL,1,2,2,2869.000000,19.999500
NEULAND_TCAL,1,2,2,2902.000000,20.353600
NEULAND_TCAL,1,2,2,2951.000000,20.894600
NEULAND_TCAL,1,2,2,3127.000000,22.873100
