NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-1901.8,0,13895.2,0.0656086,0,39.763,0.041132,300.438,0.0671919,0,40.7,0.0400412,316.455,76.257,-51.3483,378.805,11,0,21,0,12,0,22,0,0
102,13,1,1,-1779.4,0,13895.2,0.0661407,0,41,0.0398724,329.593,0.0665243,0,42,0.0395029,212.113,76.3734,-392.181,381.904,11,1,21,1,12,1,22,1,0
103,13,1,1,-1657,0,13895.2,0.0657727,0,39.7,0.0387647,462.063,0.0648201,0,40.7,0.0380405,149.528,76.1388,-423.679,380.919,11,2,21,2,12,2,22,2,0
104,13,1,1,-1534.6,0,13895.2,0.0651574,0,40.7,0.0409969,482.534,0.0655715,0,39.7,0.0392339,209.308,76.6994,-154.923,379.758,11,3,21,3,12,3,22,3,0
105,13,1,1,-1412.2,0,13895.2,0.0657176,0,39.7,0.0394177,334.857,0.0652892,0,40,0.0400514,352.857,76.8467,5.22129,380.873,11,4,21,4,12,4,22,4,0
106,13,1,1,-1289.8,0,13895.2,0.0640581,0,40.7,0.0375513,411.229,0.0664147,0,39.7,0.0404083,255.179,76.5627,-397.795,381.012,11,5,21,5,12,5,22,5,0
107,13,1,1,-1167.4,0,13895.2,0.0641942,0,39.973,0.0400173,357.418,0.0655568,0,40,0.0400945,421.46,77.0949,-434.092,380.112,11,6,21,6,12,6,22,6,0
108,13,1,1,-1045,0,13895.2,0.0643705,0,40.673,0.0431021,334.965,0.0669281,0,40,0.0394879,390.804,76.1101,13.9189,379.854,11,7,21,7,12,7,22,7,0
109,13,1,1,-922.6,0,13895.2,0.0640574,0,40.09,0.0384063,429.927,0.0657783,0,40,0.0396561,320.699,75.8799,-670.239,379.28,11,8,21,8,12,8,22,8,0
110,13,1,1,-800.2,0,13895.2,0.064936,0,40.673,0.0387849,256.88,0.0654056,0,40,0.0399218,254.873,77.4803,-96.9842,380.057,11,9,21,9,12,9,22,9,0
111,13,1,1,-677.8,0,13895.2,0.0651777,0,40,0.0383656,420.452,0.0662571,0,39.4,0.0373007,235.808,77.5201,-85.0088,377.285,11,10,21,10,12,10,22,10,0
112,13,1,1,-555.4,0,13895.2,0.0647237,0,42,0.0405402,477.701,0.0661178,0,39.7,0.0397606,169.992,76.6019,-99.0804,379.036,11,11,21,11,12,11,22,11,0
113,13,1,1,-433,0,13895.2,0.0653415,0,39.7,0.0386945,406.689,0.0667787,0,40.7,0.0395094,326.161,76.9307,-529.332,378.939,11,12,21,12,12,12,22,12,0
114,13,1,1,-310.6,0,13895.2,0.0655379,0,41,0.0392615,323.286,0.0656141,0,40,0.0388946,124.863,76.928,-154.231,378.358,11,13,21,13,12,13,22,13,0
115,13,1,1,-188.2,0,13895.2,0.0643891,0,39.79,0.0401883,455.591,0.0664585,0,40.7,0.0394394,372.547,76.1677,-184.665,377.22,11,14,21,14,12,14,22,14,0
116,13,1,1,-65.8,0,13895.2,0.0637331,0,41.7,0.0391408,381.766,0.0646249,0,40.7,0.038634,103.485,76.4048,486.318,377.411,11,16,21,16,12,16,22,16,0
117,13,1,1,56.6,0,13895.2,0.0646319,0,41.79,0.039575,136.375,0.0656845,0,40.09,0.0403391,176.269,76.7046,622.765,376.933,11,17,21,17,12,17,22,17,0
118,13,1,1,179,0,13895.2,0.0635155,0,40.036,0.040188,131.517,0.0651027,0,40,0.0396818,248.556,77.0545,296.327,374.893,11,18,21,18,12,18,22,18,0
119,13,1,1,301.4,0,13895.2,0.0647842,0,42.43,0.0399652,76.6124,0.0646464,0,40.58,0.0385458,99.223,77.7806,140.912,376.744,11,19,21,19,12,19,22,19,0
120,13,1,1,423.8,0,13895.2,0.0654734,0,40,0.0389112,165.168,0.0659911,0,41,0.0400592,259.358,76.1836,643.61,379.48,11,20,21,20,12,20,22,20,0
121,13,1,1,546.2,0,13895.2,0.0646433,0,40.763,0.0375385,281.089,0.0665103,0,40.79,0.0375228,141.809,77.3338,630.62,379.377,11,21,21,21,12,21,22,21,0
122,13,1,1,668.6,0,13895.2,0.064966,0,42.673,0.038239,351.254,0.0659543,0,40,0.0371799,203.899,76.3279,605.922,378.507,11,22,21,22,12,22,22,22,0
123,13,1,1,791,0,13895.2,0.0646113,0,40.673,0.0399242,287.398,0.065316,0,40,0.0394183,202.648,77.5132,681.126,380.99,11,23,21,23,12,23,22,23,0
124,13,1,1,913.4,0,13895.2,0.0644359,0,41,0.0386121,322.921,0.0661092,0,41,0.0372322,299.341,76.5651,256.316,378.605,11,24,21,24,12,24,22,24,0
125,13,1,1,1035.8,0,13895.2,0.06494,0,40,0.0338568,246.724,0.0642354,0,40,0.0367658,79.9469,77.3425,553.757,381.18,11,25,21,25,12,25,22,25,0
126,13,1,1,1158.2,0,13895.2,0.0659476,0,41.973,0.0390079,368.054,0.0667109,0,41,0.0405543,161.502,76.6168,142.789,379.657,11,26,21,26,12,26,22,26,0
127,13,1,1,1280.6,0,13895.2,0.0646164,0,39.973,0.0391224,152.074,0.0657015,0,41,0.0384817,238.481,76.9535,376.902,378.581,11,27,21,27,12,27,22,27,0
128,13,1,1,1403,0,13895.2,0.0639539,0,41,0.0394077,488.819,0.0656272,0,40,0.0423946,264.868,76.9332,517.326,380.745,11,28,21,28,12,28,22,28,0
