NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ_SAMURAICenter_to_SCI,Target-SAMURAICenter,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
123,13,1,1,791,0,9788,4228,14016,0.0646154,0,40.673,0.0501158,194.682,0.0653239,0,40,0.0485928,165.143,77.5132,681.126,-19.777289,11,23,21,23,12,23,22,23,0
124,13,1,1,913.4,0,9788,4228,14016,0.0644381,0,41,0.0493046,221.19,0.0661029,0,41,0.0479439,194.197,76.5651,256.316,-22.535283,11,24,21,24,12,24,22,24,0
125,13,1,1,1035.8,0,9788,4228,14016,0.0649391,0,40,0.0411971,177.138,0.064244,0,40,0.0451856,119.653,77.3425,553.757,-20.249861,11,25,21,25,12,25,22,25,0
126,13,1,1,1158.2,0,9788,4228,14016,0.0659543,0,41.973,0.0491818,235.103,0.0667206,0,41,0.0494447,130.106,76.6168,142.789,-22.713759,11,26,21,26,12,26,22,26,0
127,13,1,1,1280.6,0,9788,4228,14016,0.0646239,0,39.973,0.0477809,125.735,0.0657098,0,41,0.046891,171.717,76.9535,376.902,-23.927979,11,27,21,27,12,27,22,27,0
128,13,1,1,1403,0,9788,4228,14016,0.0639586,0,41,0.0524424,293.355,0.0656329,0,40,0.0541854,185.841,76.9332,517.326,-21.86231,11,28,21,28,12,28,22,28,0
129,13,1,1,1525.4,0,9788,4228,14016,0.0639018,0,41.09,0.0517765,165.536,0.0662877,0,41.09,0.0517619,206.799,76.7464,396.715,-23.57579,11,29,21,29,12,29,22,29,0
130,13,1,1,1647.8,0,9788,4228,14016,0.0643377,0,41,0.0475581,216.365,0.0647682,0,40,0.0492843,289.552,76.0879,784.427,-21.66822,11,30,21,30,12,30,22,30,0
201,13,1,2,-1901.8,0,9908,4228,14136,0.0646282,0,40.973,0.0490552,197.206,0.0662218,0,41,0.0476373,234.467,76.8909,-354.804,-20.00001,13,0,23,0,14,0,24,0,0
202,13,1,2,-1779.4,0,9908,4228,14136,0.0650581,0,40,0.0482971,204.776,0.065859,0,41,0.0493608,173.055,76.3507,154.587,-20.765,13,1,23,1,14,1,24,1,0
203,13,1,2,-1657,0,9908,4228,14136,0.0648454,0,41,0.0474368,222.511,0.0653727,0,41,0.0505761,221.777,75.8571,542.989,-19.8319,13,2,23,2,14,2,24,2,0
204,13,1,2,-1534.6,0,9908,4228,14136,0.0646849,0,40.973,0.0498737,179.356,0.0659526,0,40,0.0469877,120.464,76.2366,-101.353,-20.97265,13,3,23,3,14,3,24,3,0
205,13,1,2,-1412.2,0,9908,4228,14136,0.0646308,0,40.673,0.0490705,248.311,0.0645288,0,40,0.0505953,183.952,76.2603,178.093,-20.52166,13,4,23,4,14,4,24,4,0
206,13,1,2,-1289.8,0,9908,4228,14136,0.0651411,0,39.7,0.0508008,192.355,0.0662942,0,39.1,0.0474607,128.41,76.6329,-173.012,-19.515908,13,5,23,5,14,5,24,5,0
207,13,1,2,-1167.4,0,9908,4228,14136,0.0652155,0,41.09,0.0474604,238.681,0.0656605,0,41.09,0.0461048,139.142,77.5206,-25.2331,-19.418932,13,6,23,6,14,6,24,6,0
208,13,1,2,-1045,0,9908,4228,14136,0.0657355,0,40.7,0.0491089,248.828,0.0655729,0,40.7,0.0449643,107.447,77.2911,81.7811,-19.964,13,7,23,7,14,7,24,7,0
209,13,1,2,-922.6,0,9908,4228,14136,0.0641384,0,39.973,0.0489281,271.845,0.0649546,0,40.4,0.0496381,160.307,76.9548,282.991,-19.380306,13,8,23,8,14,8,24,8,0
210,13,1,2,-800.2,0,9908,4228,14136,0.0635698,0,39.673,0.0537163,240.644,0.0661413,0,40,0.0506683,161.788,76.2718,-394.646,-17.538301,13,9,23,9,14,9,24,9,0
211,13,1,2,-677.8,0,9908,4228,14136,0.0656064,0,40,0.0565388,276.332,0.0652233,0,40,0.045588,267.253,77.2961,-41.2213,-21.448587,13,10,23,10,14,10,24,10,0
212,13,1,2,-555.4,0,9908,4228,14136,0.0650632,0,40,0.054323,188.115,0.0652488,0,41,0.0520596,203.229,77.0462,-75.2254,-16.337385,13,11,23,11,14,11,24,11,0
