NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
224,13,1,2,913.4,0,14551.3,0.0652282,0,39.973,0.0315106,211.518,0.0671592,0,39.4,0.0315106,126.715,76.396,-567.457,-20.2058172,13,24,23,24,14,24,24,24,0
225,13,1,2,1035.8,0,14551.3,0.064871,0,40.763,0.0265367,149.793,0.0655301,0,39.4,0.0265367,220.842,76.5166,-219.215,-22.888264,13,25,23,25,14,25,24,25,0
226,13,1,2,1158.2,0,14551.3,0.065041,0,40,0.0252783,203.574,0.0648671,0,40,0.0252783,240.337,76.7221,-633.213,-18.719146,13,26,23,26,14,26,24,26,0
227,13,1,2,1280.6,0,14551.3,0.0637412,0,41,0.0268655,187.325,0.0667966,0,40,0.0268655,210.941,76.2642,-435.756,-19.22716,13,27,23,27,14,27,24,27,0
228,13,1,2,1403,0,14551.3,0.0644352,0,40.973,0.0280158,248.313,0.0664146,0,39.7,0.0280158,222.366,76.5087,-447.426,-22.2491,13,28,23,28,14,28,24,28,0
229,13,1,2,1525.4,0,14551.3,0.0667169,0,40,0.0294699,224.403,0.0657193,0,41,0.0294699,102.103,76.4754,-523.336,-21.767,13,29,23,29,14,29,24,29,0
230,13,1,2,1647.8,0,14551.3,0.0644217,0,40.09,0.0291408,322.737,0.0663323,0,41.1,0.0291408,195.283,76.4485,-440.595,-21.45162,13,30,23,30,14,30,24,30,0
301,13,2,1,-1901.8,0,15284.8,0.0645208,0,41,0.0285617,240.364,0.0650876,0,40,0.0285617,187.866,74.5339,466.003,-15.63,15,0,25,0,16,0,26,0,0
302,13,2,1,-1779.4,0,15284.8,0.0653335,0,40.736,0.0267649,320.785,0.0656867,0,40,0.0267649,182.66,74.3449,-92.2778,-13.64213,15,1,25,1,16,1,26,1,0
303,13,2,1,-1657,0,15284.8,0.0641335,0,40.973,0.0305972,239.848,0.0671799,0,41,0.0305972,113.419,74.6466,-45.9183,-16.70659,15,2,25,2,16,2,26,2,0
304,13,2,1,-1534.6,0,15284.8,0.0646674,0,39.79,0.0303318,114.951,0.065867,0,40.09,0.0303318,144.88,74.2137,296.564,-12.540041,15,3,25,3,16,3,26,3,0
305,13,2,1,-1412.2,0,15284.8,0.0650466,0,40.09,0.0263464,205.351,0.0658439,0,41,0.0263464,200.182,75.2543,312.241,-14.31164,15,4,25,4,16,4,26,4,0
306,13,2,1,-1289.8,0,15284.8,0.0653215,0,40.7,0.027446,172.901,0.0661794,0,41,0.027446,202.298,74.7159,-192.974,-12.594402,15,5,25,5,16,5,26,5,0
