NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff_orig,TAveOff_off,TAveOff_base,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
128,13,1,1,1403,0,14431.3,0.0639539,0,41,0.0302922,282.38,0.0656272,0,40,0.0302922,175.694,76.9332,517.326,380.745,1.04731,-20.815,-21.86231,11,28,21,28,12,28,22,28,0
129,13,1,1,1525.4,0,14431.3,0.0638877,0,41.09,0.0289376,153.961,0.0662816,0,41.09,0.0289376,194.053,76.7464,396.715,379.597,1.61279,-21.963,-23.57579,11,29,21,29,12,29,22,29,0
130,13,1,1,1647.8,0,14431.3,0.0643305,0,41,0.0249826,205.746,0.0647571,0,40,0.0249826,278.348,76.0879,784.427,382.075,2.18322,-19.485,-21.66822,11,30,21,30,12,30,22,30,0
201,13,1,2,-1901.8,0,14551.3,0.0646211,0,40.973,0.0264719,184.861,0.0662213,0,41,0.0264719,221.72,76.8909,-354.804,388.264,2.89401,-17.106,-20.00001,13,0,23,0,14,0,24,0,0
202,13,1,2,-1779.4,0,14551.3,0.0650706,0,40,0.0302761,192.693,0.0658604,0,41,0.0302761,159.042,76.3507,154.587,387.028,2.423,-18.342,-20.765,13,1,23,1,14,1,24,1,0
203,13,1,2,-1657,0,14551.3,0.0648411,0,41,0.0278744,211.387,0.0653668,0,41,0.0278744,209.476,75.8571,542.989,387.672,2.1339,-17.698,-19.8319,13,2,23,2,14,2,24,2,0
204,13,1,2,-1534.6,0,14551.3,0.0647099,0,40.973,0.0323201,166.745,0.0659436,0,40,0.0323201,105.655,76.2366,-101.353,385.781,1.38365,-19.589,-20.97265,13,3,23,3,14,3,24,3,0
205,13,1,2,-1412.2,0,14551.3,0.0646312,0,40.673,0.0292197,236.594,0.0645273,0,40,0.0292197,170.442,76.2603,178.093,385.963,1.11466,-19.407,-20.52166,13,4,23,4,14,4,24,4,0
206,13,1,2,-1289.8,0,14551.3,0.065134,0,39.7,0.031437,180.149,0.066297,0,39.1,0.031437,113.729,76.6329,-173.012,386.669,0.814908,-18.701,-19.515908,13,5,23,5,14,5,24,5,0
207,13,1,2,-1167.4,0,14551.3,0.0652086,0,41.09,0.0301455,226.923,0.0656605,0,41.09,0.0301455,126.104,77.5206,-25.2331,386.539,0.587932,-18.831,-19.418932,13,6,23,6,14,6,24,6,0
208,13,1,2,-1045,0,14551.3,0.0657596,0,40.7,0.0308681,236.984,0.0655778,0,40.7,0.0308681,94.3356,77.2911,81.7811,385.281,-0.125,-20.089,-19.964,13,7,23,7,14,7,24,7,0
209,13,1,2,-922.6,0,14551.3,0.0641342,0,39.973,0.0311835,260.202,0.0649546,0,40.4,0.0311835,147.74,76.9548,282.991,385.578,-0.411694,-19.792,-19.380306,13,8,23,8,14,8,24,8,0
210,13,1,2,-800.2,0,14551.3,0.0635628,0,39.673,0.0311473,228.011,0.0661421,0,40,0.0311473,149.131,76.2718,-394.646,387.234,-0.597699,-18.136,-17.538301,13,9,23,9,14,9,24,9,0
211,13,1,2,-677.8,0,14551.3,0.0656,0,40,0.0243346,265.775,0.065209,0,40,0.0243346,254.975,77.2961,-41.2213,383.322,-0.599413,-22.048,-21.448587,13,10,23,10,14,10,24,10,0
212,13,1,2,-555.4,0,14551.3,0.0650396,0,40,0.0288847,176.777,0.0652435,0,41,0.0288847,190.491,77.0462,-75.2254,388.133,-0.899615,-17.237,-16.337385,13,11,23,11,14,11,24,11,0
213,13,1,2,-433,0,14551.3,0.0655097,0,39.673,0.0275231,155.807,0.0660831,0,41,0.0275231,214,77.0912,-29.5147,388.554,-0.596156,-16.816,-16.219844,13,12,23,12,14,12,24,12,0
214,13,1,2,-310.6,0,14551.3,0.0651314,0,40.063,0.0278274,176.153,0.0650987,0,41.09,0.0278274,176.581,76.3689,-25.76,388.41,-1.07499,-16.96,-15.88501,13,13,23,13,14,13,24,13,0
215,13,1,2,-188.2,0,14551.3,0.0650631,0,41.09,0.0268202,242.76,0.0657633,0,42,0.0268202,257.056,76.5096,-221.567,384.607,-0.906773,-20.763,-19.856227,13,14,23,14,14,14,24,14,0
216,13,1,2,-65.8,0,14551.3,0.0645252,0,40.4,0.0300052,163.668,0.0666692,0,41,0.0300052,185.617,76.0053,-169.714,380.799,-1,-24.571,-23.571,13,16,23,16,14,16,24,16,0
217,13,1,2,56.6,0,14551.3,0.0653919,0,40.973,0.0299805,128.408,0.0659672,0,40,0.0299805,175.313,76.6697,-414.545,381.186,-1.09649,-24.184,-23.08751,13,17,23,17,14,17,24,17,0
218,13,1,2,179,0,14551.3,0.0659192,0,39.973,0.0294241,151.167,0.0661616,0,41,0.0294241,157.394,76.7255,-551.989,381.982,-0.767809,-23.388,-22.620191,13,18,23,18,14,18,24,18,0
219,13,1,2,301.4,0,14551.3,0.0652656,0,40,0.0271637,181.892,0.06611,0,40,0.0271637,199.88,76.5966,-481.703,383.285,-1.21552,-22.085,-20.86948,13,19,23,19,14,19,24,19,0
220,13,1,2,423.8,0,14551.3,0.0650937,0,40,0.0311209,258.234,0.0658944,0,40,0.0311209,156.276,77.3887,-437.298,384.397,-0.769796,-20.973,-20.203204,13,20,23,20,14,20,24,20,0
221,13,1,2,546.2,0,14551.3,0.0650129,0,38.8,0.0286576,201.327,0.0663593,0,40,0.0286576,207.128,76.2585,-140.355,383.171,-0.550306,-22.199,-21.648694,13,21,23,21,14,21,24,21,0
222,13,1,2,668.6,0,14551.3,0.0643258,0,41,0.0258878,309.474,0.0645824,0,41,0.0258878,263.555,76.3649,-49.3396,382.82,-0.52772,-22.55,-22.02228,13,22,23,22,14,22,24,22,0
223,13,1,2,791,0,14551.3,0.0663639,0,41,0.0278159,220.694,0.0670594,0,40,0.0278159,222.051,76.4884,-322.66,385.386,-0.0918401,-19.984,-19.8921599,13,23,23,23,14,23,24,23,0
224,13,1,2,913.4,0,14551.3,0.0652203,0,39.973,0.0315106,211.518,0.0671608,0,39.4,0.0315106,126.715,76.396,-567.457,385.14,-0.0241828,-20.23,-20.2058172,13,24,23,24,14,24,24,24,0
225,13,1,2,1035.8,0,14551.3,0.0648597,0,40.763,0.0265367,149.793,0.0655267,0,39.4,0.0265367,220.842,76.5166,-219.215,382.809,0.327264,-22.561,-22.888264,13,25,23,25,14,25,24,25,0
226,13,1,2,1158.2,0,14551.3,0.0650314,0,40,0.0252783,203.574,0.0648457,0,40,0.0252783,240.337,76.7221,-633.213,387.182,0.531146,-18.188,-18.719146,13,26,23,26,14,26,24,26,0
227,13,1,2,1280.6,0,14551.3,0.0637325,0,41,0.0268655,187.325,0.0667966,0,40,0.0268655,210.941,76.2642,-435.756,387.221,1.07816,-18.149,-19.22716,13,27,23,27,14,27,24,27,0
228,13,1,2,1403,0,14551.3,0.0644262,0,40.973,0.0280158,248.313,0.0664099,0,39.7,0.0280158,222.366,76.5087,-447.426,384.931,1.8101,-20.439,-22.2491,13,28,23,28,14,28,24,28,0
229,13,1,2,1525.4,0,14551.3,0.0667075,0,40,0.0294699,224.403,0.0657238,0,41,0.0294699,102.103,76.4754,-523.336,385.978,2.375,-19.392,-21.767,13,29,23,29,14,29,24,29,0
230,13,1,2,1647.8,0,14551.3,0.064416,0,40.09,0.0291408,322.737,0.0663265,0,41.1,0.0291408,195.283,76.4485,-440.595,386.212,2.29362,-19.158,-21.45162,13,30,23,30,14,30,24,30,0
301,13,2,1,-1901.8,0,15284.8,0.0645169,0,41,0.0285617,240.364,0.0650756,0,40,0.0285617,187.866,74.5339,466.003,412.965,2.625,-13.005,-15.63,15,0,25,0,16,0,26,0,0
302,13,2,1,-1779.4,0,15284.8,0.0653389,0,40.736,0.0267649,320.785,0.0656644,0,40,0.0267649,182.66,74.3449,-92.2778,414.568,2.24013,-11.402,-13.64213,15,1,25,1,16,1,26,1,0
303,13,2,1,-1657,0,15284.8,0.0641315,0,40.973,0.0305972,239.848,0.0671766,0,41,0.0305972,113.419,74.6466,-45.9183,411.495,2.23159,-14.475,-16.70659,15,2,25,2,16,2,26,2,0
304,13,2,1,-1534.6,0,15284.8,0.0646731,0,39.79,0.0303318,114.951,0.0658601,0,40.09,0.0303318,144.88,74.2137,296.564,413.844,0.414041,-12.126,-12.540041,15,3,25,3,16,3,26,3,0
305,13,2,1,-1412.2,0,15284.8,0.0650421,0,40.09,0.0263464,205.351,0.0658324,0,41,0.0263464,200.182,75.2543,312.241,413.078,1.41964,-12.892,-14.31164,15,4,25,4,16,4,26,4,0
306,13,2,1,-1289.8,0,15284.8,0.0653136,0,40.7,0.027446,172.901,0.06616,0,41,0.027446,202.298,74.7159,-192.974,414.367,0.991402,-11.603,-12.594402,15,5,25,5,16,5,26,5,0
307,13,2,1,-1167.4,0,15284.8,0.0647867,0,40.79,0.0292219,233.269,0.0651372,0,39.7,0.0292219,144.941,74.4316,227.935,410.084,-0.24148,-15.886,-15.64452,15,6,25,6,16,6,26,6,0
308,13,2,1,-1045,0,15284.8,0.0643228,0,40.7,0.0268478,249.261,0.0656238,0,41,0.0268478,201.477,74.7478,74.8292,413.134,-0.625,-12.836,-12.211,15,7,25,7,16,7,26,7,0
309,13,2,1,-922.6,0,15284.8,0.0639898,0,46.063,0.0305746,203.238,0.0659202,0,40,0.0305746,131.474,74.6372,57.6963,413.349,0.292864,-12.621,-12.913864,15,8,25,8,16,8,26,8,0
