NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-1901.8,0,13895.2,0.0656086,0,39.763,0.0510702,153.84,0.0671919,0,40.7,0.0498624,189.777,76.0334,-11.638,378.805,11,0,21,0,12,0,22,0,0
102,13,1,1,-1779.4,0,13895.2,0.0661407,0,41,0.0497083,194.974,0.0665243,0,42,0.0492434,138.161,76.7353,-383.156,381.904,11,1,21,1,12,1,22,1,0
103,13,1,1,-1657,0,13895.2,0.0657727,0,39.7,0.0487762,233.07,0.0648201,0,40.7,0.0482998,109.653,77.0258,-444.361,380.919,11,2,21,2,12,2,22,2,0
104,13,1,1,-1534.6,0,13895.2,0.0651574,0,40.7,0.0518729,283.251,0.0655715,0,39.7,0.0493954,145.347,76.2735,-198.215,379.758,11,3,21,3,12,3,22,3,0
105,13,1,1,-1412.2,0,13895.2,0.0657176,0,39.7,0.0487493,179.608,0.0652892,0,40,0.049953,205.199,76.6097,-11.422,380.873,11,4,21,4,12,4,22,4,0
106,13,1,1,-1289.8,0,13895.2,0.0640581,0,40.7,0.0463523,236.721,0.0664147,0,39.7,0.0491971,170.181,76.6178,-410.612,381.012,11,5,21,5,12,5,22,5,0
107,13,1,1,-1167.4,0,13895.2,0.0641942,0,39.973,0.0500364,181.312,0.0655568,0,40,0.0497019,227.749,76.4452,-442.246,380.112,11,6,21,6,12,6,22,6,0
108,13,1,1,-1045,0,13895.2,0.0643705,0,40.673,0.0544361,183.659,0.0669281,0,40,0.0497849,228.057,75.6565,-7.5068,379.854,11,7,21,7,12,7,22,7,0
109,13,1,1,-922.6,0,13895.2,0.0640574,0,40.09,0.0489262,222.943,0.0657783,0,40,0.0495475,194.117,75.8796,-718.036,379.28,11,8,21,8,12,8,22,8,0
110,13,1,1,-800.2,0,13895.2,0.064936,0,40.673,0.0482754,171.388,0.0654056,0,40,0.049123,153.267,76.2122,-90.01,380.057,11,9,21,9,12,9,22,9,0
111,13,1,1,-677.8,0,13895.2,0.0651777,0,40,0.0476529,219.342,0.0662571,0,39.4,0.0461489,157.041,76.9481,-82.8704,377.285,11,10,21,10,12,10,22,10,0
112,13,1,1,-555.4,0,13895.2,0.0647237,0,42,0.0511437,260.297,0.0661178,0,39.7,0.0497113,119.898,76.2243,-114.141,379.036,11,11,21,11,12,11,22,11,0
113,13,1,1,-433,0,13895.2,0.0653415,0,39.7,0.048312,228.923,0.0667787,0,40.7,0.0489041,181.14,76.7545,-550.552,378.939,11,12,21,12,12,12,22,12,0
114,13,1,1,-310.6,0,13895.2,0.0655379,0,41,0.0488115,184.082,0.0656141,0,40,0.048381,90.4214,76.4934,-201.612,378.358,11,13,21,13,12,13,22,13,0
115,13,1,1,-188.2,0,13895.2,0.0643891,0,39.79,0.0509064,244.296,0.0664585,0,40.7,0.0478214,229.19,75.9701,-225.394,377.22,11,14,21,14,12,14,22,14,0
116,13,1,1,-65.8,0,13895.2,0.0637331,0,41.7,0.0480206,227.062,0.0646249,0,40.7,0.0487364,102.199,76.7221,452.839,377.411,11,16,21,16,12,16,22,16,0
