NAME,FPL,a_ch2ns,x1_ch2ns,y1_ch2ns,x2_ch2ns,y2_ch2ns,xfactor,yfactor,xoffset,yoffset,xns_off,yns_off,xpos_off,ypos_off,xzpos,yzpos,tdc_underflow,tdc_overflow,txsum_min,txsum_max,tysum_min,tysum_max,Tx1_fpl,Tx1_geo,Tx1_ch,Tx2_fpl,Tx2_geo,Tx2_ch,Ty1_fpl,Ty1_geo,Ty1_ch,Ty2_fpl,Ty2_geo,Ty2_ch,Ta_fpl,Ta_geo,Ta_ch,Qx1_fpl,Qx1_geo,Qx1_ch,Qx2_fpl,Qx2_geo,Qx2_ch,Qy1_fpl,Qy1_geo,Qy1_ch,Qy2_fpl,Qy2_geo,Qy2_ch,Qa_fpl,Qa_geo,Qa_ch
F1PPAC-1,1,0,0,0,0,0,1.232,1.233,1.24,1.28,0,0,-2,0,178.5,187.1,-999999,10000000,-1000,1000,-1000,1000,-1,8,16,-1,8,18,-1,8,17,-1,8,19,-1,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F1PPAC-2,1,0,0,0,0,0,1.219,1.238,0.86,0.77,0,0,-1.5,0,498.5,507.1,-999999,10000000,-1000,1000,-1000,1000,-1,8,20,-1,8,22,-1,8,21,-1,8,23,-1,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F2PPAC-1,2,0,0,0,0,0,1.229,1.233,0.75,0.63,0,0,0,-1.8,-895.1,-866.58,-999999,10000000,-1000,1000,-1000,1000,-1,8,24,-1,8,26,-1,8,25,-1,8,27,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F2PPAC-2,2,0,0,0,0,0,1.225,1.232,0.84,0.46,0,0,1,-2,56.5,65.1,-999999,10000000,-1000,1000,-1000,1000,-1,8,28,-1,8,30,-1,8,29,-1,8,31,-1,8,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-1A,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.24,-1.231,0.34,-0.7,-0.9833864459,2.2341666667,1.05,0,-18.7,-10.1,-999999,10000000,80,100,40,120,63,9,16,63,9,18,63,9,17,63,9,19,63,9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-1B,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.228,-1.232,0.22,-0.72,1.527678479,1.4126128769,0.57,0,18.7,10.1,-999999,10000000,80,100,40,120,63,9,20,63,9,22,63,9,21,63,9,23,63,9,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-2A,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.217,-1.224,0.75,-0.29,-1.837880859,6.0920226537,1.98,0,871.3,879.9,-999999,10000000,155,185,40,120,63,9,24,63,9,26,63,9,25,63,9,27,63,9,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-2B,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.223,-1.23,1.31,-0.17,1.0085244898,2.9314724919,1.76,0,908.7,900.1,-999999,10000000,155,190,40,120,63,9,28,63,9,30,63,9,29,63,9,31,63,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F4PPAC,4,0,0,0,0,0,1.242,1.223,0.95,0.17,0,0,0,0,96.5,105.1,-999999,10000000,-1000,1000,40,120,-1,8,32,-1,8,34,-1,8,33,-1,8,35,-1,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F5PPAC-1A,5,0.09765,0.09765,0.09765,0.09765,0.09765,1.228,-1.23,0.95,-0.35,0.7465145654,2.7619186992,0,0,-418.7,-410.1,-999999,10000000,155,185,40,120,63,8,112,63,8,114,63,8,113,63,8,115,63,8,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
