NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI70,70,8,6,75.2,37.85,-4.35,10.06,1206.06,0.0977,0,1,12,6,6,70
NaI71,71,8,6,75.05,37.7,4.43,10.13,1202.91,0.0977,0,1,12,7,6,71
NaI72,72,8,6,75.21,35.68,13.08,10.04,1120.11,0.0977,0,1,12,8,6,72
NaI73,73,8,6,75.03,31.24,21.65,10.16,1208.17,0.0977,0,1,12,9,6,73
NaI74,74,8,6,74.95,22.51,30.35,10.16,1207.91,0.0977,0,1,12,10,6,74
NaI75,75,8,6,75.65,7.96,39.13,10.22,1205.69,0.0977,0,1,12,11,6,75
NaI76,76,8,6,75.61,-7.83,39.12,10.24,1207.84,0.0977,0,1,12,12,6,76
NaI77,77,8,6,74.95,-22.52,30.31,10.15,1207.14,0.0977,0,1,12,13,6,77
NaI78,78,8,6,75.06,-31.3,21.65,10.15,1206.22,0.0977,0,1,12,14,6,114
NaI79,79,8,6,75.07,-35.73,13.04,10.14,1207.13,0.0977,0,1,12,15,6,79
NaI80,80,8,6,75.08,-37.76,4.37,10.13,1202.71,0.0977,0,1,12,16,6,80
NaI81,81,8,6,75.1,-37.77,-4.34,10.12,1198.76,0.0977,0,1,12,17,6,115
NaI82,82,8,6,75.12,-35.78,-12.97,10.11,1202.78,0.0977,0,1,12,18,6,82
NaI83,83,8,6,75.09,-31.26,-21.66,10.13,1206.71,0.0977,0,1,12,19,6,83
NaI84,84,8,6,74.92,-22.54,-30.31,10.18,1202.72,0.0977,0,1,12,20,6,84
NaI85,85,8,6,75.67,-7.94,-39.16,10.21,1206.76,0.0977,0,1,12,21,6,85
NaI86,86,8,7,68.08,8.11,-39.18,16.1,1204.69,0.0977,0,1,12,22,6,86
NaI87,87,8,7,66.94,22.66,-30.37,16.13,1205.58,0.0977,0,1,12,23,6,87
NaI88,88,8,7,67.09,31.44,-21.67,16.13,1206.81,0.0977,0,1,12,24,6,88
NaI89,89,8,7,67.07,35.86,-12.99,16.13,1205.36,0.0977,0,1,12,25,6,89
NaI90,90,8,7,67,37.75,-4.35,16.13,1206.27,0.0977,0,1,12,26,6,90
NaI91,91,8,7,67,37.66,4.35,16.09,1206.36,0.0977,0,1,12,27,6,91
NaI92,92,8,7,66.98,35.7,13.07,16.15,1205.5,0.0977,0,1,12,28,6,92
NaI93,93,8,7,67.11,31.44,21.68,16.12,1209.21,0.0977,0,1,12,29,6,93
NaI94,94,8,7,66.95,22.6,30.45,16.13,1207.18,0.0977,0,1,12,30,6,94
NaI95,95,8,7,68.02,8.12,39.19,16.16,1209.35,0.0977,0,1,12,31,6,95
NaI96,96,8,7,68.08,-8.16,39.27,16.14,1204.97,0.0977,0,1,13,0,6,96
NaI97,97,8,7,66.96,-22.53,30.42,16.1,1204.28,0.0977,0,1,13,1,6,97
NaI98,98,8,7,67.14,-31.5,21.62,16.1,1203.81,0.0977,0,1,13,2,6,98
NaI99,99,8,7,67.13,-35.88,13.07,16.1,1203.84,0.0977,0,1,13,3,6,99
NaI100,100,8,7,66.97,-37.67,4.42,16.12,1202.65,0.0977,0,1,13,4,6,100
NaI101,101,8,7,66.94,-37.66,-4.41,16.14,1206.58,0.0977,0,1,13,5,6,101
NaI102,102,8,7,67.12,-35.9,-13.01,16.12,1203.01,0.0977,0,1,13,6,6,102
NaI103,103,8,7,67.08,-31.49,-21.6,16.15,1205.75,0.0977,0,1,13,7,6,103
NaI104,104,8,7,66.95,-22.59,-30.37,16.11,1204.43,0.0977,0,1,13,8,6,104
NaI105,105,8,7,68.01,-7.94,-39.19,16.15,1207.84,0.0977,0,1,13,9,6,105
NaI106,106,8,8,57.93,3.53,-35.93,22.63,1202.88,0.0977,0,1,13,10,6,106
NaI107,107,8,8,58.02,10.4,-34.69,22.61,1202.76,0.0977,0,1,13,11,6,107
NaI108,108,8,8,58,17.21,-31.93,22.67,1203.99,0.0977,0,1,13,12,6,108
NaI109,109,8,8,57.68,24.08,-26.57,22.68,1188.56,0.0977,0,1,13,13,6,109
NaI110,110,8,8,57.82,31.71,-17.28,22.72,1189.93,0.0977,0,1,13,14,6,110
NaI111,111,8,8,57.79,34.51,-10.36,22.7,1182.96,0.0977,0,1,13,15,6,111
NaI112,112,8,8,57.67,35.75,-3.4,22.73,1191.09,0.0977,0,1,13,16,8,0
NaI113,113,8,8,57.59,35.68,3.45,22.75,1187.69,0.0977,0,1,13,17,8,1
NaI114,114,8,8,57.8,34.61,10.27,22.73,1196.39,0.0977,0,1,13,18,8,2
NaI115,115,8,8,57.74,31.72,17.22,22.78,1192.61,0.0977,0,1,13,19,8,3
NaI116,116,8,8,57.67,24.1,26.58,22.71,1187.34,0.0977,0,1,13,20,8,4
NaI117,117,8,8,57.91,17.21,31.82,22.68,1193.52,0.0977,0,1,13,21,8,5
NaI118,118,8,8,58.13,10.34,34.96,22.67,1199.98,0.0977,0,1,13,22,8,6
NaI119,119,8,8,57.89,3.51,35.87,22.62,1204.28,0.0977,0,1,13,23,8,7
NaI120,120,8,8,57.99,-3.45,35.99,22.61,1205.88,0.0977,0,1,13,24,8,8
NaI121,121,8,8,58.04,-10.37,34.78,22.65,1198.56,0.0977,0,1,13,25,8,9
NaI122,122,8,8,57.75,-17.12,31.77,22.77,1202.58,0.0977,0,1,13,26,8,10
NaI123,123,8,8,57.62,-24.1,26.58,22.75,1188.96,0.0977,0,1,13,27,8,11
NaI124,124,8,8,57.86,-31.74,17.21,22.69,1191.5,0.0977,0,1,13,28,8,12
NaI125,125,8,8,57.88,-34.61,10.27,22.66,1193.49,0.0977,0,1,13,29,8,13
