NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI57,57,8,5,87.18,-22.22,30.15,1.84,990.08,0.0977,-298.9,3.305,11,25,6,57
NaI58,58,8,5,87.19,-30.95,21.56,1.85,990.56,0.0977,-413.883,3.64,11,26,6,58
NaI59,59,8,5,87.21,-35.32,12.98,1.83,990.59,0.0977,-281.401,3.084,11,27,6,59
NaI60,60,8,5,87.16,-36.89,4.35,1.85,986.19,0.0977,-333.654,3.32,11,28,6,60
NaI61,61,8,5,87.17,-36.88,-4.36,1.83,984.34,0.0977,-304.709,3.541,11,29,6,61
NaI62,62,8,5,87.15,-35.25,-12.95,1.87,990.98,0.0977,-368.575,3.425,11,30,6,62
NaI63,63,8,5,87.23,-31.07,-21.54,1.83,983.19,0.0977,-284.996,3.12,11,31,6,113
NaI64,64,8,5,87.16,-22.38,-30.24,1.86,986.39,0.0977,-472.492,3.673,12,0,6,64
NaI65,65,8,5,87.34,-7.89,-39.08,1.85,990.77,0.0977,-311.051,3.27,12,1,6,65
NaI66,66,8,6,78.89,7.97,-38.95,7.81,988.66,0.0977,-274.305,3.017,12,2,6,66
NaI67,67,8,6,78.19,22.14,-30.13,7.82,987.72,0.0977,-394.895,3.35,12,3,6,67
NaI68,68,8,6,78.25,30.84,-21.52,7.82,988.9,0.0977,-376.473,3.217,12,4,6,68
NaI69,69,8,6,78.36,35.35,-12.96,7.76,988.54,0.0977,-288.356,3.153,12,5,6,69
NaI70,70,8,6,78.3,37.26,-4.35,7.77,987.96,0.0977,-406.695,3.527,12,6,6,70
NaI71,71,8,6,78.31,37.19,4.36,7.75,988.81,0.0977,-251.434,3.238,12,7,6,71
NaI72,72,8,6,78.28,35.29,12.92,7.79,989.61,0.0977,-349.28,3.241,12,8,6,72
NaI73,73,8,6,78.35,30.92,21.53,7.77,992.27,0.0977,-261.12,3.321,12,9,6,73
NaI74,74,8,6,78.19,22.14,30.19,7.83,992.01,0.0977,-370.714,3.381,12,10,6,74
NaI75,75,8,6,78.89,7.84,39.04,7.82,988.19,0.0977,-215.608,3.144,12,11,6,75
NaI76,76,8,6,78.86,-7.84,39,7.83,991.34,0.0977,-435.938,3.141,12,12,6,76
NaI77,77,8,6,78.19,-22.18,30.19,7.83,989.04,0.0977,-385.16,3.396,12,13,6,77
NaI78,78,8,6,78.2,-30.76,21.57,7.85,979.92,0.0977,-334.944,3.457,12,14,6,114
NaI79,79,8,6,78.29,-35.21,13.01,7.78,990.83,0.0977,-273.849,3.463,12,15,6,79
NaI80,80,8,6,78.29,-37.24,4.35,7.77,989.01,0.0977,-309.938,3.213,12,16,6,80
