NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,DALI
NaI49,49,8,5,83.49,35.18,-12.98,4.28,1104.532,0.0977,-398.1803357273,3.5449229304,11,17,6,49,49
NaI50,50,8,5,83.45,36.9,-4.33,4.26,1110.769,0.0977,-512.7902417454,5.4601323194,11,18,6,50,50
NaI51,51,8,5,83.45,36.99,4.4,4.28,1111.802,0.0977,-424.3505124519,3.5604955074,11,19,6,51,51
NaI52,52,8,5,83.52,35.37,13.01,4.28,1105.313,0.0977,-428.504375187,3.7449726949,11,20,6,52,52
NaI53,53,8,5,83.46,30.83,21.57,4.31,1105.267,0.0977,-410.4052372592,3.596180383,11,21,6,53,53
NaI54,54,8,5,83.43,22.38,30.25,4.34,1106.86,0.0977,-439.6161709294,3.7982928296,11,22,6,54,54
NaI55,55,8,5,83.8,8.02,39.07,4.33,1107.96,0.0977,-414.3364621766,3.616531016,11,23,6,55,55
NaI56,56,8,5,83.84,-8.07,39.04,4.3,1107.441,0.0977,-351.1238745315,3.5321744658,11,24,6,56,56
NaI57,57,8,5,83.43,-22.26,30.21,4.32,1107.876,0.0977,-432.1381294385,3.4830504651,11,25,6,57,57
NaI58,58,8,5,83.52,-30.81,21.6,4.27,1108.142,0.0977,-465.9696400708,3.7746098983,11,26,6,58,58
NaI59,59,8,5,83.44,-35.35,12.88,4.32,1107.683,0.0977,-442.1013079233,3.5211134615,11,27,6,59,59
NaI60,60,8,5,83.42,-36.93,4.46,4.29,1114.242,0.0977,-448.3353335178,4.2126407101,11,28,6,60,60
NaI61,61,8,5,83.44,-36.85,-4.41,4.27,1114.566,0.0977,-445.9294457136,3.6986880683,11,29,6,61,61
NaI62,62,8,5,83.48,-35.24,-12.93,4.29,1110.35,0.0977,-282.817746387,3.4171249941,11,30,6,62,62
NaI63,63,8,5,83.43,-30.72,-21.59,4.32,1109.235,0.0977,-418.3219090717,3.6590165757,11,31,6,63,63
NaI64,64,8,5,83.52,-22.37,-30.16,4.26,1105.307,0.0977,-305.0728651854,3.6318291355,12,0,6,64,64
NaI65,65,8,5,83.87,-7.88,-39.01,4.27,1108.126,0.0977,-246.4817401519,3.6109259147,12,1,6,65,65
NaI66,66,8,6,75.68,8.04,-39.18,10.21,1107.688,0.0977,-194.911324924,3.366957466,12,2,6,66,66
NaI67,67,8,6,74.93,22.48,-30.35,10.17,1106.658,0.0977,-231.0740707784,3.5569818085,12,3,6,67,67
NaI68,68,8,6,75,31.22,-21.65,10.18,1107.674,0.0977,-183.716822931,3.3859273654,12,4,6,68,68
NaI69,69,8,6,75.06,35.69,-13.08,10.14,1106.922,0.0977,-392.5011032713,3.5277976223,12,5,6,69,69
NaI70,70,8,6,75.2,37.85,-4.35,10.06,1107.679,0.0977,-337.3908226788,3.407806076,12,6,6,70,70
NaI71,71,8,6,75.05,37.7,4.43,10.13,1106.648,0.0977,-291.1104391787,3.5569750013,12,7,6,71,71
NaI72,72,8,6,75.21,35.68,13.08,10.04,1022.544,0.0977,-289.3802312314,3.6997029774,17,6,6,123,123
NaI73,73,8,6,75.03,31.24,21.65,10.16,1109.978,0.0977,-281.4905331709,3.5994156157,12,9,6,73,73
NaI74,74,8,6,74.95,22.51,30.35,10.16,1110.188,0.0977,-387.4207916749,3.456663506,12,10,6,74,74
NaI75,75,8,6,75.65,7.96,39.13,10.22,1107.875,0.0977,-288.0440284251,3.4197844357,12,11,6,75,75
NaI76,76,8,6,75.61,-7.83,39.12,10.24,1109.269,0.0977,-394.0509223335,3.5456212277,12,12,6,76,76
NaI77,77,8,6,74.95,-22.52,30.31,10.15,1107.647,0.0977,-292.1967983903,3.5191971449,12,13,6,77,77
NaI78,78,8,6,75.06,-31.3,21.65,10.15,1108.754,0.0977,-285.8117655602,3.568861596,12,14,6,78,78
NaI79,79,8,6,75.07,-35.73,13.04,10.14,1109.439,0.0977,-255.4130778767,3.5709352326,12,15,6,79,79
NaI80,80,8,6,75.08,-37.76,4.37,10.13,1106.635,0.0977,-417.6603778596,3.6175288858,12,16,6,80,80
NaI81,81,8,6,75.1,-37.77,-4.34,10.12,1104.249,0.0977,-347.5750869425,3.657815088,12,17,6,81,81
NaI82,82,8,6,75.12,-35.78,-12.97,10.11,1106.395,0.0977,-436.7984237978,3.8142022893,12,18,6,82,82
NaI83,83,8,6,75.09,-31.26,-21.66,10.13,1109.273,0.0977,-295.3047760005,3.5468566618,12,19,6,83,83
NaI84,84,8,6,74.92,-22.54,-30.31,10.18,1105.809,0.0977,-469.2055079863,3.5911206191,12,20,6,84,84
NaI85,85,8,6,75.67,-7.94,-39.16,10.21,1109.635,0.0977,-316.0632091275,3.5074885815,12,21,6,85,85
NaI86,86,8,7,68.08,8.11,-39.18,16.1,1106.69,0.0977,-440.9362409154,3.5016879021,12,22,6,86,86
NaI87,87,8,7,66.94,22.66,-30.37,16.13,1107.949,0.0977,-323.7300333996,3.5603225524,12,23,6,87,87
NaI88,88,8,7,67.09,31.44,-21.67,16.13,1108.565,0.0977,-333.8135076772,3.574095188,12,24,6,88,88
NaI89,89,8,7,67.07,35.86,-12.99,16.13,1108.488,0.0977,-334.5980036596,3.5581083333,12,25,6,89,89
NaI90,90,8,7,67,37.75,-4.35,16.13,1108.5,0.0977,-404.8097136017,3.5763780462,12,26,6,90,90
NaI91,91,8,7,67,37.66,4.35,16.09,1108.857,0.0977,-334.2265997877,3.6444540106,12,27,6,91,91
NaI92,92,8,7,66.98,35.7,13.07,16.15,1108.614,0.0977,-336.8446300122,3.5115183806,12,28,6,92,92
NaI93,93,8,7,67.11,31.44,21.68,16.12,1109.654,0.0977,-315.8912396711,3.5933978837,12,29,6,93,93
NaI94,94,8,7,66.95,22.6,30.45,16.13,1109.073,0.0977,-405.6136492165,3.7330024671,12,30,6,94,94
NaI95,95,8,7,68.02,8.12,39.19,16.16,1110.601,0.0977,-338.3371964678,3.6442459655,12,31,6,95,95
NaI96,96,8,7,68.08,-8.16,39.27,16.14,1106.37,0.0977,-457.3374856897,3.5771021074,13,0,6,96,96
NaI97,97,8,7,66.96,-22.53,30.42,16.1,1107.051,0.0977,-338.3620106269,3.5759633567,13,1,6,97,97
NaI98,98,8,7,67.14,-31.5,21.62,16.1,1107.209,0.0977,-329.3445744296,3.6136625097,13,2,6,98,98
NaI99,99,8,7,67.13,-35.88,13.07,16.1,1104.779,0.0977,-389.7690015109,3.489558519,13,3,6,99,99
NaI100,100,8,7,66.97,-37.67,4.42,16.12,1105.645,0.0977,-438.8555218504,3.6443378997,13,4,6,100,100
NaI101,101,8,7,66.94,-37.66,-4.41,16.14,1109.343,0.0977,-338.0196654471,3.4751373455,13,5,6,101,101
NaI102,102,8,7,67.12,-35.9,-13.01,16.12,1105.607,0.0977,-401.0005845178,3.5154451736,13,6,6,102,102
NaI103,103,8,7,67.08,-31.49,-21.6,16.15,1107.092,0.0977,-305.9301753347,3.542960618,13,7,6,103,103
NaI104,104,8,7,66.95,-22.59,-30.37,16.11,1107.221,0.0977,-346.4701785826,3.4229215528,13,8,6,104,104
NaI105,105,8,7,68.01,-7.94,-39.19,16.15,1107.32,0.0977,-285.9693314511,3.5972349963,13,9,6,105,105
NaI106,106,8,8,57.93,3.53,-35.93,22.63,1104.672,0.0977,-360.5005505113,3.5512691519,13,10,6,106,106
NaI107,107,8,8,58.02,10.4,-34.69,22.61,1104.201,0.0977,-247.2852883005,3.6974250311,13,11,6,107,107
NaI108,108,8,8,58,17.21,-31.93,22.67,1105.521,0.0977,-510.2731744924,3.8799008774,13,12,6,108,108
NaI109,109,8,8,57.68,24.08,-26.57,22.68,1089.902,0.0977,-450.9144463703,3.6830643254,13,13,6,109,109
NaI110,110,8,8,57.82,31.71,-17.28,22.72,1091.298,0.0977,-386.4343080127,3.6442218312,13,14,6,110,110
NaI111,111,8,8,57.79,34.51,-10.36,22.7,1086.071,0.0977,-298.8910781823,3.6432929202,13,15,6,111,111
NaI112,112,8,8,57.67,35.75,-3.4,22.73,1087.716,0.0977,-1593.8062413072,18.3964356324,13,16,8,0,0
NaI113,113,8,8,57.59,35.68,3.45,22.75,1091.451,0.0977,-365.7351507453,3.7177543592,13,17,8,1,1
NaI114,114,8,8,57.8,34.61,10.27,22.73,1097.038,0.0977,-461.2178743562,3.6711717393,13,18,8,2,2
NaI115,115,8,8,57.74,31.72,17.22,22.78,1094.387,0.0977,-441.0559049921,3.8439816819,13,19,8,3,3
NaI116,116,8,8,57.67,24.1,26.58,22.71,1089.355,0.0977,-347.4571523106,3.9374331617,13,20,8,4,4
NaI117,117,8,8,57.91,17.21,31.82,22.68,1096.518,0.0977,-261.1645195347,3.4258712204,13,21,8,5,5
NaI118,118,8,8,58.13,10.34,34.96,22.67,1102.349,0.0977,-326.6885366297,3.7189277843,13,22,8,6,6
NaI119,119,8,8,57.89,3.51,35.87,22.62,1104.904,0.0977,-371.1526015841,4.9051875769,13,23,8,7,7
NaI120,120,8,8,57.99,-3.45,35.99,22.61,1106.701,0.0977,-490.8212064445,3.979772945,13,24,8,8,8
NaI121,121,8,8,58.04,-10.37,34.78,22.65,1099.928,0.0977,-339.5249429026,3.5554729681,13,25,8,9,9
NaI122,122,8,8,57.75,-17.12,31.77,22.77,1104.954,0.0977,-475.7779548808,3.6963302389,13,26,8,10,10
NaI123,123,8,8,57.62,-24.1,26.58,22.75,1088.192,0.0977,-439.1155762411,3.8441234855,13,27,8,11,11
NaI124,124,8,8,57.86,-31.74,17.21,22.69,1093.507,0.0977,-376.8103671275,3.857048309,13,28,8,12,12
NaI125,125,8,8,57.88,-34.61,10.27,22.66,1094.576,0.0977,-260.2368345665,3.592651992,13,29,8,13,13
NaI126,126,8,8,57.62,-35.74,3.44,22.77,1099.148,0.0977,-325.8057913637,3.7064979855,13,30,8,14,14
NaI127,127,8,8,57.55,-35.62,-3.45,22.75,1096.9,0.0977,-483.3663008121,3.6091281342,13,31,8,15,15
NaI128,128,8,8,57.79,-34.51,-10.29,22.68,1096.428,0.0977,-369.5230282618,3.6833835376,14,0,8,16,16
NaI129,129,8,8,57.77,-31.68,-17.21,22.73,1093.549,0.0977,-423.1355426796,3.6630295227,14,1,8,17,17
NaI130,130,8,8,57.67,-24.1,-26.62,22.72,1091.917,0.0977,-402.2802800538,3.6187602437,14,2,8,18,18
NaI131,131,8,8,57.69,-17.1,-31.65,22.75,1100.914,0.0977,-350.7426883881,3.4792224622,14,3,8,19,19
NaI132,132,8,8,58.02,-10.42,-34.74,22.64,1104.499,0.0977,-325.3365663656,3.8702378347,14,4,8,20,20
NaI133,133,8,8,57.87,-3.49,-35.93,22.67,1103.079,0.0977,-344.8469801308,3.62826612,14,5,8,21,21
NaI134,134,8,9,46.59,3.46,-31.78,30.23,1101.956,0.0977,-322.5919422977,3.5288590106,14,6,8,22,22
NaI135,135,8,9,46.63,10.37,-30.29,30.25,1100.598,0.0977,-376.4550136615,3.827593665,14,7,8,23,23
NaI136,136,8,9,46.35,17.21,-26.58,30.21,1096.907,0.0977,-346.79192439,3.5643224626,14,8,8,24,24
NaI137,137,8,9,50,26.75,-24.07,30.2,1095.188,0.0977,-427.5735879518,3.5747461773,14,9,8,25,25
NaI138,138,8,9,46.28,26.57,-17.2,30.27,1102.603,0.0977,-264.5172035807,3.618540467,14,10,8,26,26
NaI139,139,8,9,46.49,30.19,-10.32,30.29,1102.091,0.0977,-373.5379348927,3.6273624394,14,11,8,27,27
NaI140,140,8,9,46.56,31.66,-3.5,30.16,1096.546,0.0977,-317.7330394871,3.5598072031,14,12,8,28,28
NaI141,141,8,9,46.54,31.69,3.5,30.21,1096.878,0.0977,-328.3351487995,3.463699887,14,13,8,29,29
NaI142,142,8,9,46.49,30.13,10.37,30.25,1104.833,0.0977,-400.6626264245,3.6341762078,14,14,8,30,30
NaI143,143,8,9,46.38,26.58,17.28,30.21,1097.778,0.0977,-480.9121950777,3.6709434296,14,15,8,31,31
NaI144,144,8,9,49.9,26.7,24.04,30.26,1095.792,0.0977,-493.4198495944,4.8903556039,14,16,8,32,32
NaI145,169,8,9,46.39,17.27,26.69,30.29,1096.158,0.0977,-403.0704878335,3.5590541468,14,17,8,33,33
NaI146,170,8,9,46.6,10.35,30.27,30.25,1100.805,0.0977,-338.466015656,3.6499307312,14,18,8,34,34
NaI147,171,8,9,46.49,3.43,31.69,30.26,1100.277,0.0977,-428.9038757525,3.655690019,14,19,8,35,35
NaI148,172,8,9,46.58,-3.49,31.74,30.21,1097.114,0.0977,-334.3356945874,3.7750502061,14,20,8,36,36
NaI149,173,8,9,46.55,-10.38,30.17,30.22,1102.279,0.0977,-447.8168106617,3.67612015,14,21,8,37,37
NaI150,174,8,9,46.47,-17.18,26.77,30.22,1102.78,0.0977,-350.6689630366,3.7912103395,14,22,8,38,38
NaI151,175,8,9,49.84,-26.58,24.07,30.26,1094.638,0.0977,-494.9983358846,3.8886909535,14,23,8,39,39
NaI152,176,8,9,46.42,-26.63,17.33,30.23,1097.738,0.0977,-410.8130338555,3.7405146211,14,24,8,40,40
NaI153,177,8,9,46.48,-30.13,10.35,30.26,1099.483,0.0977,-359.8387339831,3.4944439901,14,25,8,41,41
NaI154,178,8,9,46.53,-31.67,3.47,30.2,1099.295,0.0977,-359.3323649232,3.9037401329,14,26,8,42,42
NaI155,179,8,9,46.64,-31.79,-3.51,30.2,1102.955,0.0977,-407.5659337697,3.769765245,14,27,8,43,43
NaI156,180,8,9,46.6,-30.28,-10.35,30.26,1102.33,0.0977,-368.8642716589,3.5481228043,14,28,8,44,44
NaI157,181,8,9,46.41,-26.66,-17.22,30.22,1105.15,0.0977,-442.5249879832,3.5222710468,14,29,8,45,45
NaI158,182,8,9,49.89,-26.7,-24.1,30.29,1094.707,0.0977,-603.7530946514,3.7344411452,14,30,8,46,46
NaI159,183,8,9,46.36,-17.15,-26.59,30.18,1105.981,0.0977,-423.9207771123,3.7962312885,14,31,8,47,47
NaI160,184,8,9,46.73,-10.42,-30.3,30.16,1091.928,0.0977,-359.9450081667,3.4403279217,15,0,8,48,48
NaI161,185,8,9,46.61,-3.46,-31.81,30.25,1098.02,0.0977,-366.6375409473,3.5576385843,15,1,8,49,49
NaI162,186,8,10,38.64,19.14,-25.9,40.29,1012.424,0.0977,-257.1555958827,3.7044273636,17,5,6,122,122
NaI163,187,8,10,38.69,25.93,-19.16,40.25,1090.553,0.0977,-354.3228585771,3.6223525959,15,3,8,51,51
NaI164,188,8,10,38.79,25.86,19.14,40.03,1096.232,0.0977,-355.5609291834,3.6568347783,15,4,8,52,52
NaI165,189,8,10,38.53,19.08,25.9,40.4,1090.156,0.0977,-349.7593822548,3.8053515332,15,5,8,53,53
NaI166,190,8,10,38.8,-19.13,25.94,40.09,1013.532,0.0977,-339.4305269416,3.7303561697,17,7,6,124,124
NaI167,191,8,10,38.68,-25.96,19.09,40.25,1091.808,0.0977,-368.2631453065,3.4261917374,15,7,8,55,55
NaI168,192,8,10,38.74,-25.94,-19.13,40.18,1096.639,0.0977,-270.7675477672,3.5001417519,15,8,8,56,56
NaI169,193,8,10,38.73,-19.11,-25.88,40.11,1090.996,0.0977,-392.7321620184,3.6234949507,15,9,8,57,57
NaI170,194,8,10,34.53,4.47,-27.22,40.08,1106.429,0.0977,-394.7067447215,3.648999984,15,10,8,58,58
NaI171,195,8,10,36.14,12.37,-26.1,39.55,1096.97,0.0977,-389.7632501562,3.4749510036,15,11,8,59,59
NaI172,196,8,10,34.61,19.25,-19.27,39.46,1098.851,0.0977,-390.4391356652,3.7082552168,15,12,8,60,60
NaI173,197,8,10,35.99,26.11,-12.2,39.68,1099.338,0.0977,-399.3769322758,3.4487831411,15,13,8,61,61
NaI174,198,8,10,34.57,27.25,-4.33,40.04,1106.95,0.0977,-391.0513063693,3.8001386784,15,14,8,62,62
NaI175,199,8,10,34.52,27.21,4.41,40.08,1108.256,0.0977,-387.5936132278,3.3919530974,15,15,8,63,63
NaI176,200,8,10,36.17,26.13,12.25,39.47,1100.173,0.0977,-418.6029058329,3.6709545828,15,16,8,64,64
NaI177,201,8,10,34.42,19.13,19.27,39.62,1080.593,0.0977,-253.8594742265,3.5492448401,17,9,6,113,113
NaI178,202,8,10,36.08,12.24,26.13,39.6,1091.684,0.0977,-384.5987274144,3.7453262532,15,18,8,66,66
NaI179,203,8,10,34.6,4.43,27.23,39.99,1111.898,0.0977,-519.8692409727,3.7935526349,15,19,8,67,67
NaI180,204,8,10,34.61,-4.47,27.22,39.96,1111.451,0.0977,-404.8091738538,3.7848086202,15,20,8,68,68
NaI181,205,8,10,36.12,-12.29,26.11,39.54,1102.847,0.0977,-400.4735374491,3.678624129,15,21,8,69,69
NaI182,206,8,10,34.55,-19.23,19.2,39.46,1097.334,0.0977,-347.971953983,3.6441548993,15,22,8,70,70
NaI183,207,8,10,36.07,-26.12,12.26,39.6,1095.267,0.0977,-405.5433113164,3.3780844043,15,23,8,71,71
NaI184,208,8,10,34.44,-27.21,4.5,40.21,1108.111,0.0977,-1241.8453998068,10.2675126727,15,24,8,72,72
NaI185,209,8,10,34.51,-27.2,-4.38,40.07,1111.44,0.0977,-338.6315045316,3.4789681977,15,25,8,73,73
