NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF17,13,-15.157,0.0682479,-11.6503,0.0680848,246.775,0.025507701,194.934,0.023832221,32,6,0,6,8,31,4,0,4,8
HODF18,13,-12.8989,0.0697084,-18.8688,0.0696004,258.925,0.02540154,185.65,0.025849556,32,6,1,6,9,31,4,1,4,9
HODF19,13,-16.9131,0.0690471,-11.1261,0.0704586,245.574,0.023831784,203.477,0.026827909,32,6,2,6,10,31,4,2,4,10
HODF20,13,-16.8207,0.0694583,-14.1987,0.0685289,105.539,0.027464402,149.195,0.026734119,32,6,3,6,11,31,4,3,4,11
HODF21,13,-14.0227,0.0695557,-14.639,0.0689104,226.88,0.025351014,245.593,0.025606681,32,6,4,6,12,31,4,4,4,12
HODF22,13,-18.4733,0.0694805,-14.0411,0.0684371,189.617,0.025576957,177.888,0.024254636,32,6,5,6,13,31,4,5,4,13
HODF23,13,-18.8926,0.0687773,-14.5803,0.0700493,199.949,0.024996154,137.885,0.024964953,32,6,6,6,14,31,4,6,4,14
HODF24,13,-13.0542,0.0689661,-14.6917,0.0692851,186.13,0.025787511,267.127,0.023555845,32,6,7,6,15,31,4,7,4,15
HODP1,13,-20.285,0.0642078,-11.9528,0.0652754,149.939,0.025706433,191.872,0.026101273,34,2,0,2,16,33,1,0,1,16
HODP2,13,-19.508,0.0639669,-17.7243,0.0647755,215.723,0.02823509,160.374,0.02670995,34,2,1,2,17,33,1,1,1,17
HODP3,13,-11.9132,0.0637764,-19.4845,0.0649932,192.462,0.018198617,143.621,0.019770961,34,2,2,2,18,33,1,2,1,18
HODP4,13,-19.2645,0.0663238,-18.5235,0.0650314,210.91,0.018523268,219.747,0.020849706,34,2,3,2,19,33,1,3,1,19
HODP5,13,-18.9928,0.0646857,-16.7672,0.065317,223.636,0.018383133,139.792,0.017691167,34,2,4,2,20,33,1,4,1,20
HODP6,13,-11.1385,0.0646314,-20.2437,0.0650982,168.636,0.018484814,199.929,0.018227962,34,2,5,2,21,33,1,5,1,21
HODP7,13,-19.341,0.0651425,-17.6388,0.0634848,171.424,0.01648073,226.798,0.018271772,34,2,6,2,22,33,1,6,1,22
HODP8,13,-17.6549,0.0655356,-19.0523,0.064556,207.63,0.017963493,196.926,0.019217692,34,2,7,2,23,33,1,7,1,23
HODP9,13,-18.4674,0.0647498,-19.0192,0.0646932,172.567,0.018439455,162.024,0.018360026,34,2,8,2,24,33,1,8,1,24
HODP10,13,-13.7853,0.0652186,-13.4711,0.0639579,175.325,0.018602788,193.622,0.020362133,34,2,9,2,25,33,1,9,1,25
HODP11,13,-18.9508,0.0646277,-18.8217,0.064314,185.436,0.017388048,200.142,0.019164713,34,2,10,2,26,33,1,10,1,26
HODP12,13,-17.3005,0.0648825,-19.3221,0.0648341,176.962,0.017313019,169.267,0.019552106,34,2,11,2,27,33,1,11,1,27
HODP13,13,-16.9462,0.0639607,-19.7991,0.0635733,131.53,0.02011512,193.5,0.019708018,34,2,12,2,28,33,1,12,1,28
HODP14,13,-17.2342,0.0653962,-18.5537,0.0647998,190.809,0.020139427,160.703,0.022386389,34,2,13,2,29,33,1,13,1,29
HODP15,13,-17.2037,0.0644058,-18.3062,0.0643458,158.059,0.017633574,170.676,0.02056539,34,2,14,2,30,33,1,14,1,30
HODP16,13,-18.054,0.0647478,-18.4599,0.0648895,156.865,0.018379494,148.675,0.022216146,34,2,15,2,31,33,1,15,1,31
HODS1,13,-19.4587,0.0675954,-9.77014,0.0682231,152.154,0.059390561,186.349,0.046061723,40,9,0,9,8,39,8,0,8,8
HODS2,13,-19.0004,0.0675369,-14.9541,0.0686024,126.974,0.06143377,139.172,0.058181167,40,9,1,9,9,39,8,1,8,9
HODS3,13,-18.2219,0.0678509,-16.4212,0.069842,145.791,0.057137834,76.0616,0.053197149,40,9,2,9,10,39,8,2,8,10
HODS4,13,-18.475,0.0677051,-14.7143,0.0677372,180.923,0.055253315,164.756,0.054813003,40,9,3,9,11,39,8,3,8,11
HODS5,13,-17.6722,0.0675913,-17.5854,0.0675133,214.685,0.06173719,162.498,0.052650763,40,9,4,9,12,39,8,4,8,12
HODS6,13,-16.5794,0.0673719,-15.4734,0.0679815,145.786,0.066030069,132.234,0.052429925,40,9,5,9,13,39,8,5,8,13
HODS7,13,-17.2065,0.0689165,-14.5463,0.0688307,149.721,0.055913978,164.472,0.075031744,40,9,6,9,14,39,8,6,8,14
