NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI54,54,8,5,81.74,22.35,30.34,5.47,1028.23,0.0977,-390.562835,3.255435,6,22,22,54
NaI55,55,8,5,82.01,7.78,38.91,5.57,1029.18,0.0977,-195.92637,2.87892,6,23,22,55
NaI56,56,8,5,82.04,-7.95,38.96,5.56,1028.1,0.0977,-295.71504,3.22056,6,24,22,56
NaI57,57,8,5,81.77,-22.69,30.15,5.46,1028.67,0.0977,-323.243914,3.276224,6,25,22,57
NaI58,58,8,5,81.67,-31.04,21.5,5.53,1028.81,0.0977,-286.634792,3.16728,6,26,22,58
NaI59,59,8,5,81.77,-35.32,13.1,5.45,1026.6,0.0977,-312.859565,2.94264,6,27,22,59
NaI60,60,8,5,81.64,-36.58,4.3,5.41,1023.84,0.0977,-312.68762,3.219313,6,28,22,60
NaI61,61,8,5,81.75,-36.97,-4.47,5.4,1023.09,0.0977,-306.00125,3.171065,6,29,22,61
NaI62,62,8,5,81.66,-35.35,-12.94,5.52,1029.12,0.0977,-347.691365,3.356331,6,30,22,62
NaI63,63,8,5,81.58,-30.57,-21.2,5.51,1029.66,0.0977,-235.675465,2.8457,6,31,22,63
NaI64,64,8,5,81.55,-22.37,-30.1,5.57,1024.23,0.0977,-321.303396,3.556553,7,0,22,64
NaI65,65,8,5,82.13,-7.65,-38.99,5.49,1029.59,0.0977,-318.273176,3.303288,7,1,22,65
NaI66,66,8,6,73.97,7.73,-38.86,11.38,1026.94,0.0977,-300.580845,3.046869,7,2,22,66
NaI67,67,8,6,73.14,22.26,-30.41,11.42,1026.5,0.0977,-332.852268,3.334318,7,3,22,67
NaI68,68,8,6,73.3,31.1,-21.53,11.35,1027.51,0.0977,-269.020842,3.241152,7,4,22,68
NaI69,69,8,6,73.14,35.24,-12.85,11.37,1027.35,0.0977,-267.360798,3.010966,7,5,22,69
NaI70,70,8,6,73.19,37.32,-4.37,11.35,1027.81,0.0977,-291.03364,3.187176,7,6,22,70
NaI71,71,8,6,73.34,37.52,4.21,11.3,1026,0.0977,-294.22232,3.26304,7,7,22,71
NaI72,72,8,6,73.4,35.52,13.04,11.28,1028.47,0.0977,-325.132103,3.299039,7,8,22,72
NaI73,73,8,6,73.35,31.01,21.63,11.31,1029.92,0.0977,-357.763426,3.32976,7,9,22,73
NaI74,74,8,6,73.12,22.46,30.19,11.42,1030.87,0.0977,-254.748935,3.33524,7,10,22,74
NaI75,75,8,6,74.18,8.04,39.06,11.3,1028.16,0.0977,-306.719832,3.148544,7,11,22,75
NaI76,76,8,6,74.05,-7.88,39.06,11.39,1029.84,0.0977,-295.467703,3.208205,7,12,22,76
NaI77,77,8,6,73.19,-22.23,30.3,11.35,1026.82,0.0977,-286.188941,3.327778,7,13,22,77
NaI78,78,8,6,73.21,-30.69,21.64,11.33,1028.45,0.0977,-356.7177,3.355035,7,14,22,78
NaI79,79,8,6,73.2,-35.19,12.93,11.32,1030.15,0.0977,-419.80806,3.144528,7,15,22,79
NaI80,80,8,6,73.2,-37.37,4.48,11.36,1025.77,0.0977,-343.42092,3.581822,7,16,22,80
NaI81,81,8,6,73.29,-37.42,-4.36,11.31,1024.63,0.0977,-400.883224,3.387396,7,17,22,81
NaI82,82,8,6,73.39,-35.45,-13.04,11.27,1027.57,0.0977,-342.716842,3.644898,7,18,22,82
NaI83,83,8,6,73.14,-31.07,-21.54,11.46,1029.08,0.0977,-404.062073,3.357896,7,19,22,83
NaI84,84,8,6,73.04,-22.03,-30.16,11.39,1025.46,0.0977,-328.416996,3.522014,7,20,22,84
NaI85,85,8,6,74.01,-7.9,-39.11,11.43,1030.62,0.0977,-385.4122,3.160308,7,21,22,85
NaI86,86,8,7,66.5,7.73,-39.14,17.35,1026.7,0.0977,-303.915072,3.219072,7,22,22,86
NaI87,87,8,7,65.29,22.17,-30.22,17.25,1028.32,0.0977,-397.70624,3.305855,7,23,22,87
NaI88,88,8,7,65.39,31.01,-21.57,17.3,1028.52,0.0977,-359.336355,3.20716,7,24,22,88
NaI89,89,8,7,65.34,35.39,-12.88,17.29,1027.58,0.0977,-350.882992,3.415024,7,25,22,89
NaI90,90,8,7,65.34,37.5,-4.3,17.33,1027.67,0.0977,-301.13154,3.34553,7,26,22,90
NaI91,91,8,7,65.32,37.36,4.35,17.28,1029.22,0.0977,-336.773336,3.216928,7,27,22,91
NaI92,92,8,7,65.12,34.95,12.85,17.27,1029.18,0.0977,-310.192951,3.089169,7,28,22,92
NaI93,93,8,7,65.35,30.9,21.61,17.3,1029.8,0.0977,-396.253392,3.110508,7,29,22,93
NaI94,94,8,7,65.17,22.39,30.18,17.39,1029.92,0.0977,-484.876515,3.319281,7,30,22,94
NaI95,95,8,7,66.51,7.84,38.98,17.28,1030.75,0.0977,-373.835949,3.350646,7,31,22,95
NaI96,96,8,7,66.62,-7.84,39.21,17.29,1026.72,0.0977,-275.465704,3.320352,8,0,22,96
NaI97,97,8,7,65.23,-22.54,30.17,17.38,1027.28,0.0977,-206.67796,3.272856,8,1,22,97
NaI98,98,8,7,65.49,-30.96,21.7,17.24,1027.1,0.0977,-179.010912,3.072842,8,2,22,98
NaI99,99,8,7,65.08,-35.16,12.85,17.39,1024.1,0.0977,-198.132376,3.476034,8,3,22,99
NaI100,100,8,7,65.08,-36.99,4.28,17.3,1025.56,0.0977,-205.477696,3.437696,8,4,22,100
NaI101,101,8,7,65.38,-37.47,-4.55,17.3,1028.68,0.0977,-388.60737,3.397161,8,5,22,101
NaI102,102,8,7,65.29,-35.51,-13.01,17.4,1025.87,0.0977,-314.987614,3.266336,8,6,22,102
NaI103,103,8,7,65.23,-30.74,-21.5,17.31,1026.42,0.0977,-300.356887,3.395782,8,7,22,103
NaI104,104,8,7,65.32,-22.07,-30.28,17.22,1026.53,0.0977,-217.055968,3.515016,8,8,22,104
NaI105,105,8,7,66.35,-7.94,-38.9,17.39,1027.42,0.0977,-259.126176,3.393788,8,9,22,105
NaI106,106,8,8,56.02,3.49,-35.41,23.98,1016.89,0.0977,-327.744663,3.15684,8,10,22,106
NaI107,107,8,8,56.2,10.26,-34.36,24.01,1017.54,0.0977,-238.740743,3.139136,8,11,22,107
NaI108,108,8,8,56.38,17.18,-31.61,23.92,1016.71,0.0977,-330.636572,3.271548,8,12,22,108
NaI109,109,8,8,56.14,24.1,-26.43,24,1008.86,0.0977,-340.075425,3.677007,8,13,22,109
NaI110,110,8,8,59.83,30.97,-17.07,20.56,1000,0.0977,0,1,8,14,22,110
NaI111,111,8,8,59.76,33.78,-10.24,20.58,1000,0.0977,0,1,8,15,22,111
NaI112,112,8,8,59.68,34.96,-3.42,20.54,1000,0.0977,0,1,8,16,21,0
NaI113,113,8,8,59.78,35.03,3.46,20.5,1000,0.0977,0,1,8,17,21,1
NaI114,114,8,8,59.84,33.86,10.2,20.55,1000,0.0977,0,1,8,18,21,2
NaI115,115,8,8,59.82,30.97,17.11,20.58,1000,0.0977,0,1,8,19,21,3
NaI116,116,8,8,59.7,23.9,25.99,20.63,1000,0.0977,0,1,8,20,21,4
NaI117,117,8,8,59.88,17.08,31.01,20.54,1000,0.0977,0,1,8,21,21,5
NaI118,118,8,8,56.07,10.39,34.29,24.1,1017.41,0.0977,-376.737412,3.174444,8,22,21,6
NaI119,119,8,8,56.2,3.34,35.48,23.86,1018.11,0.0977,-245.04376,3.0888,8,23,21,7
NaI120,120,8,8,56.29,-3.5,35.56,23.84,1021.01,0.0977,-274.000872,3.21048,8,24,21,8
NaI121,121,8,8,56.38,-10.22,34.39,23.85,1022.11,0.0977,-300.617503,3.566815,8,25,21,9
NaI122,122,8,8,59.91,-17.02,31.06,20.52,1000,0.0977,0,1,8,26,21,10
NaI123,123,8,8,59.71,-23.89,25.91,20.59,1000,0.0977,0,1,8,27,21,11
