NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI56,56,8,5,87.35,-7.9,39.01,1.84,1205.39,0.0977,-285.107,3.291,11,24,6,56
NaI57,57,8,5,87.18,-22.22,30.15,1.84,1205.58,0.0977,-288.049,3.276,11,25,6,57
NaI58,58,8,5,87.19,-30.95,21.56,1.85,1205.66,0.0977,-407.712,3.625,11,26,6,58
NaI59,59,8,5,87.21,-35.32,12.98,1.83,1205.09,0.0977,-272.803,3.057,11,27,6,59
NaI60,60,8,5,87.16,-36.89,4.35,1.85,1212.09,0.0977,-330.261,3.309,11,28,6,60
NaI61,61,8,5,87.17,-36.88,-4.36,1.83,1211.64,0.0977,-299.266,3.524,11,29,6,61
NaI62,62,8,5,87.15,-35.25,-12.95,1.87,1206.08,0.0977,-364.856,3.412,11,30,6,62
NaI63,63,8,5,87.23,-31.07,-21.54,1.83,1208.49,0.0977,-276.803,3.103,11,31,6,113
NaI64,64,8,5,87.16,-22.38,-30.24,1.86,1203.89,0.0977,-460.661,3.642,12,0,6,64
NaI65,65,8,5,87.34,-7.89,-39.08,1.85,1206.67,0.0977,-299.45,3.248,12,1,6,65
NaI66,66,8,6,78.89,7.97,-38.95,7.81,1206.56,0.0977,-262.434,2.995,12,2,6,66
NaI67,67,8,6,78.19,22.14,-30.13,7.82,1204.02,0.0977,-388.985,3.332,12,3,6,67
NaI68,68,8,6,78.25,30.84,-21.52,7.82,1205.8,0.0977,-372.071,3.206,12,4,6,68
NaI69,69,8,6,78.36,35.35,-12.96,7.76,1205.64,0.0977,-282.86,3.139,12,5,6,69
NaI70,70,8,6,78.3,37.26,-4.35,7.77,1206.06,0.0977,-402.495,3.524,12,6,6,70
NaI71,71,8,6,78.31,37.19,4.36,7.75,1202.91,0.0977,-238.15,3.202,12,7,6,71
NaI72,72,8,6,78.28,35.29,12.92,7.79,1120.11,0.0977,-338.08,3.211,12,8,6,72
NaI73,73,8,6,78.35,30.92,21.53,7.77,1208.17,0.0977,-253.355,3.303,12,9,6,73
NaI74,74,8,6,78.19,22.14,30.19,7.83,1207.91,0.0977,-361.043,3.358,12,10,6,74
NaI75,75,8,6,78.89,7.84,39.04,7.82,1205.69,0.0977,-211.629,3.135,12,11,6,75
NaI76,76,8,6,78.86,-7.84,39,7.83,1207.84,0.0977,-424.992,3.117,12,12,6,76
NaI77,77,8,6,78.19,-22.18,30.19,7.83,1207.14,0.0977,-375.424,3.375,12,13,6,77
NaI78,78,8,6,78.2,-30.76,21.57,7.85,1206.22,0.0977,-325.509,3.438,12,14,6,114
NaI79,79,8,6,78.29,-35.21,13.01,7.78,1207.13,0.0977,-263.13,3.436,12,15,6,79
NaI80,80,8,6,78.29,-37.24,4.35,7.77,1202.71,0.0977,-298.515,3.181,12,16,6,80
NaI81,81,8,6,78.24,-37.26,-4.37,7.81,1198.76,0.0977,-290.498,3.374,12,17,6,115
NaI82,82,8,6,78.27,-35.23,-12.97,7.8,1202.78,0.0977,-414.558,3.289,12,18,6,82
NaI83,83,8,6,78.3,-30.89,-21.51,7.8,1206.71,0.0977,-337.405,3.164,12,19,6,83
NaI84,84,8,6,78.21,-22.12,-30.17,7.81,1202.72,0.0977,-299.18,3.497,12,20,6,84
NaI85,85,8,6,78.86,-7.84,-38.98,7.83,1206.76,0.0977,-244.581,3.126,12,21,6,85
NaI86,86,8,7,70.93,7.74,-38.99,13.75,1204.69,0.0977,-298.85,3.169,12,22,6,86
NaI87,87,8,7,69.78,21.96,-30.15,13.74,1205.58,0.0977,-275.503,3.353,12,23,6,87
NaI88,88,8,7,69.84,30.64,-21.51,13.74,1206.81,0.0977,-426.495,3.251,12,24,6,88
NaI89,89,8,7,69.93,35.14,-12.99,13.69,1205.36,0.0977,-342.165,3.403,12,25,6,89
NaI90,90,8,7,69.84,37.11,-4.37,13.72,1206.27,0.0977,-460.472,3.405,12,26,6,90
NaI91,91,8,7,69.84,37.12,4.3,13.72,1206.36,0.0977,-333.895,3.243,12,27,6,91
NaI92,92,8,7,69.88,35.04,12.92,13.68,1205.5,0.0977,-287.043,3.087,12,28,6,92
NaI93,93,8,7,69.88,30.64,21.55,13.72,1209.21,0.0977,-213.243,3.054,12,29,6,93
NaI94,94,8,7,69.81,21.93,30.21,13.73,1207.18,0.0977,-286.645,3.14,12,30,6,94
NaI95,95,8,7,70.9,7.85,38.97,13.76,1209.35,0.0977,-411.399,3.342,12,31,6,95
NaI96,96,8,7,70.9,-7.8,38.97,13.76,1204.97,0.0977,-351.963,3.223,13,0,6,96
NaI97,97,8,7,69.79,-22,30.18,13.75,1204.28,0.0977,-321.971,3.224,13,1,6,97
NaI98,98,8,7,69.89,-30.68,21.55,13.73,1203.81,0.0977,-270.574,3.122,13,2,6,98
NaI99,99,8,7,69.85,-35.14,12.95,13.74,1203.84,0.0977,-316.6,3.37,13,3,6,99
NaI100,100,8,7,69.83,-37.16,4.34,13.74,1202.65,0.0977,-284.294,3.423,13,4,6,100
NaI101,101,8,7,69.88,-37.18,-4.33,13.71,1206.58,0.0977,-276.689,3.134,13,5,6,101
NaI102,102,8,7,69.92,-35.21,-12.96,13.72,1203.01,0.0977,-273.055,3.254,13,6,6,102
