NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,,,,
NaI47,47,8,5,87.16,22.38,-30.21,1.87,1206.76,0.0977,-248.198386,2.736916,6,15,22,47,,,,,,,,
NaI48,48,8,5,87.13,31.03,-21.63,1.9,1205.98,0.0977,-330.981864,3.140928,6,16,22,48,,,,,,,,
NaI49,49,8,5,87.13,35.34,-12.93,1.89,1203.09,0.0977,-288.488509,3.135411,6,17,22,49,,,,,,,,
NaI50,50,8,5,87.21,36.96,-4.43,1.81,1210.3,0.0977,-275.464784,3.151683,6,18,22,50,,,,,,,,
NaI51,51,8,5,87.14,36.79,4.38,1.85,1209.69,0.0977,-348.84763,2.993955,6,19,22,51,,,,,,,,
NaI52,52,8,5,87.13,35.36,12.98,1.89,1205.42,0.0977,-341.455553,3.254139,6,20,22,52,,,,,,,,
NaI53,53,8,5,87.13,30.91,21.6,1.89,1204.52,0.0977,-303.16665,2.949198,6,21,22,53,,,,,,,,
NaI54,54,8,5,87.16,22.34,30.19,1.86,1206.09,0.0977,-390.562835,3.255435,6,22,22,54,,,,,,,,
NaI55,55,8,5,87.34,7.92,39.04,1.85,1208.32,0.0977,-195.92637,2.87892,6,23,22,55,,,,,,,,
NaI56,56,8,5,87.35,-7.9,39.01,1.84,1205.39,0.0977,-295.71504,3.22056,6,24,22,56,,,,,,,,
NaI57,57,8,5,87.18,-22.22,30.15,1.84,1205.58,0.0977,-323.243914,3.276224,6,25,22,57,,,,,,,,
NaI58,58,8,5,87.19,-30.95,21.56,1.85,1205.66,0.0977,-286.634792,3.16728,6,26,22,58,,,,,,,,
NaI59,59,8,5,87.21,-35.32,12.98,1.83,1205.09,0.0977,-312.859565,2.94264,6,27,22,59,,,,,,,,
NaI60,60,8,5,87.16,-36.89,4.35,1.85,1212.09,0.0977,-312.68762,3.219313,6,28,22,60,,,,,,,,
NaI61,61,8,5,87.17,-36.88,-4.36,1.83,1211.64,0.0977,-306.00125,3.171065,6,29,22,61,,,,,,,,
NaI62,62,8,5,87.15,-35.25,-12.95,1.87,1206.08,0.0977,-347.691365,3.356331,6,30,22,62,,,,,,,,
NaI63,63,8,5,87.23,-31.07,-21.54,1.83,1208.49,0.0977,-235.675465,2.8457,6,31,22,63,,,,,,,,
NaI64,64,8,5,87.16,-22.38,-30.24,1.86,1203.89,0.0977,-321.303396,3.556553,7,0,22,64,,,,,,,,
NaI65,65,8,5,87.34,-7.89,-39.08,1.85,1206.67,0.0977,-318.273176,3.303288,7,1,22,65,,,,,,,,
NaI66,66,8,6,78.89,7.97,-38.95,7.81,1206.56,0.0977,-300.580845,3.046869,7,2,22,66,,,,,,,,
NaI67,67,8,6,78.19,22.14,-30.13,7.82,1204.02,0.0977,-332.852268,3.334318,7,3,22,67,,,,,,,,
NaI68,68,8,6,78.25,30.84,-21.52,7.82,1205.8,0.0977,-269.020842,3.241152,7,4,22,68,,,,,,,,
NaI69,69,8,6,78.36,35.35,-12.96,7.76,1205.64,0.0977,-267.360798,3.010966,7,5,22,69,,,,,,,,
NaI70,70,8,6,78.3,37.26,-4.35,7.77,1206.06,0.0977,-291.03364,3.187176,7,6,22,70,,,,,,,,
NaI71,71,8,6,78.31,37.19,4.36,7.75,1202.91,0.0977,-294.22232,3.26304,7,7,22,71,,,,,,,,
NaI72,72,8,6,78.28,35.29,12.92,7.79,1120.11,0.0977,-325.132103,3.299039,7,8,22,72,,,,,,,,
NaI73,73,8,6,78.35,30.92,21.53,7.77,1208.17,0.0977,-357.763426,3.32976,7,9,22,73,,,,,,,,
NaI74,74,8,6,78.19,22.14,30.19,7.83,1207.91,0.0977,-254.748935,3.33524,7,10,22,74,,,,,,,,
NaI75,75,8,6,78.89,7.84,39.04,7.82,1205.69,0.0977,-306.719832,3.148544,7,11,22,75,,,,,,,,
NaI76,76,8,6,78.86,-7.84,39,7.83,1207.84,0.0977,-295.467703,3.208205,7,12,22,76,,,,,,,,
NaI77,77,8,6,78.19,-22.18,30.19,7.83,1207.14,0.0977,-286.188941,3.327778,7,13,22,77,,,,,,,,
NaI78,78,8,6,78.2,-30.76,21.57,7.85,1206.22,0.0977,-356.7177,3.355035,7,14,22,78,,,,,,,,
NaI79,79,8,6,78.29,-35.21,13.01,7.78,1207.13,0.0977,-419.80806,3.144528,7,15,22,79,,,,,,,,
NaI80,80,8,6,78.29,-37.24,4.35,7.77,1202.71,0.0977,-343.42092,3.581822,7,16,22,80,,,,,,,,
NaI81,81,8,6,78.24,-37.26,-4.37,7.81,1198.76,0.0977,-400.883224,3.387396,7,17,22,81,,,,,,,,
NaI82,82,8,6,78.27,-35.23,-12.97,7.8,1202.78,0.0977,-342.716842,3.644898,7,18,22,82,,,,,,,,
NaI83,83,8,6,78.3,-30.89,-21.51,7.8,1206.71,0.0977,-404.062073,3.357896,7,19,22,83,,,,,,,,
NaI84,84,8,6,78.21,-22.12,-30.17,7.81,1202.72,0.0977,-328.416996,3.522014,7,20,22,84,,,,,,,,
NaI85,85,8,6,78.86,-7.84,-38.98,7.83,1206.76,0.0977,-385.4122,3.160308,7,21,22,85,,,,,,,,
NaI86,86,8,7,70.93,7.74,-38.99,13.75,1204.69,0.0977,-303.915072,3.219072,7,22,22,86,,,,,,,,
NaI87,87,8,7,69.78,21.96,-30.15,13.74,1205.58,0.0977,-397.70624,3.305855,7,23,22,87,,,,,,,,
NaI88,88,8,7,69.84,30.64,-21.51,13.74,1206.81,0.0977,-359.336355,3.20716,7,24,22,88,,,,,,,,
NaI89,89,8,7,69.93,35.14,-12.99,13.69,1205.36,0.0977,-350.882992,3.415024,7,25,22,89,,,,,,,,
NaI90,90,8,7,69.84,37.11,-4.37,13.72,1206.27,0.0977,-301.13154,3.34553,7,26,22,90,,,,,,,,
NaI91,91,8,7,69.84,37.12,4.3,13.72,1206.36,0.0977,-336.773336,3.216928,7,27,22,91,,,,,,,,
NaI92,92,8,7,69.88,35.04,12.92,13.68,1205.5,0.0977,-310.192951,3.089169,7,28,22,92,,,,,,,,
NaI93,93,8,7,69.88,30.64,21.55,13.72,1209.21,0.0977,-396.253392,3.110508,7,29,22,93,,,,,,,,
NaI94,94,8,7,69.81,21.93,30.21,13.73,1207.18,0.0977,-484.876515,3.319281,7,30,22,94,,,,,,,,
NaI95,95,8,7,70.9,7.85,38.97,13.76,1209.35,0.0977,-373.835949,3.350646,7,31,22,95,,,,,,,,
NaI96,96,8,7,70.9,-7.8,38.97,13.76,1204.97,0.0977,-275.465704,3.320352,8,0,22,96,,,,,,,,
NaI97,97,8,7,69.79,-22,30.18,13.75,1204.28,0.0977,-206.67796,3.272856,8,1,22,97,,,,,,,,
NaI98,98,8,7,69.89,-30.68,21.55,13.73,1203.81,0.0977,-179.010912,3.072842,8,2,22,98,,,,,,,,
NaI99,99,8,7,69.85,-35.14,12.95,13.74,1203.84,0.0977,-198.132376,3.476034,8,3,22,99,,,,,,,,
NaI100,100,8,7,69.83,-37.16,4.34,13.74,1202.65,0.0977,-205.477696,3.437696,8,4,22,100,,,,,,,,
NaI101,101,8,7,69.88,-37.18,-4.33,13.71,1206.58,0.0977,-388.60737,3.397161,8,5,22,101,,,,,,,,
NaI102,102,8,7,69.92,-35.21,-12.96,13.72,1203.01,0.0977,-314.987614,3.266336,8,6,22,102,,,,,,,,
NaI103,103,8,7,69.91,-30.67,-21.57,13.71,1205.75,0.0977,-300.356887,3.395782,8,7,22,103,,,,,,,,
NaI104,104,8,7,69.78,-22.03,-30.12,13.74,1204.43,0.0977,-217.055968,3.515016,8,8,22,104,,,,,,,,
NaI105,105,8,7,70.89,-7.88,-38.98,13.78,1207.84,0.0977,-259.126176,3.393788,8,9,22,105,,,,,,,,
NaI106,106,8,8,59.89,3.42,-35.14,20.47,1202.88,0.0977,-327.744663,3.15684,8,10,22,106,,,,,,,,
NaI107,107,8,8,59.96,10.23,-33.98,20.52,1202.76,0.0977,-238.740743,3.139136,8,11,22,107,,,,,,,,
NaI108,108,8,8,59.86,17.05,-31.04,20.56,1203.99,0.0977,-330.636572,3.271548,8,12,22,108,,,,,,,,
NaI109,109,8,8,59.78,23.89,-25.98,20.56,1188.56,0.0977,-340.075425,3.677007,8,13,22,109,,,,,,,,
NaI110,110,8,8,59.83,30.97,-17.07,20.56,1189.93,0.0977,0,0,8,14,22,110,,,,,,,,
NaI111,111,8,8,59.76,33.78,-10.24,20.58,1182.96,0.0977,0,0,8,15,22,111,,,,,,,,
NaI112,112,8,8,59.68,34.96,-3.42,20.54,1191.09,0.0977,0,0,8,16,21,0,,,,,,,,
NaI113,113,8,8,59.78,35.03,3.46,20.5,1187.69,0.0977,0,0,8,17,21,1,,,,,,,,
NaI114,114,8,8,59.84,33.86,10.2,20.55,1196.39,0.0977,0,0,8,18,21,2,,,,,,,,
NaI115,115,8,8,59.82,30.97,17.11,20.58,1192.61,0.0977,0,0,8,19,21,3,,,,,,,,
NaI116,116,8,8,59.7,23.9,25.99,20.63,1187.34,0.0977,0,0,8,20,21,4,,,,,,,,
NaI117,117,8,8,59.88,17.08,31.01,20.54,1193.52,0.0977,0,0,8,21,21,5,,,,,,,,
NaI118,118,8,8,59.97,10.26,33.96,20.51,1199.98,0.0977,-376.737412,3.174444,8,22,21,6,,,,,,,,
NaI119,119,8,8,59.83,3.4,35.09,20.5,1204.28,0.0977,-245.04376,3.0888,8,23,21,7,,,,,,,,
NaI120,120,8,8,59.9,-3.46,35.16,20.48,1205.88,0.0977,-274.000872,3.21048,8,24,21,8,,,,,,,,
NaI121,121,8,8,59.97,-10.26,33.98,20.52,1198.56,0.0977,-300.617503,3.566815,8,25,21,9,,,,,,,,
NaI122,122,8,8,59.92,-17.02,31.06,20.52,1202.58,0.0977,0,0,8,26,21,10,,,,,,,,
NaI123,123,8,8,59.71,-23.89,25.91,20.59,1188.96,0.0977,0,0,8,27,21,11,,,,,,,,
NaI124,124,8,8,59.79,-30.98,17.06,20.59,1191.5,0.0977,0,0,8,28,21,12,,,,,,,,
NaI125,125,8,8,59.75,-33.78,10.18,20.58,1193.49,0.0977,0,0,8,29,21,13,,,,,,,,
NaI126,126,8,8,59.77,-35.02,3.44,20.51,1197.84,0.0977,0,0,12,6,20,6,,,,,,,,
NaI127,127,8,8,59.79,-35.02,-3.46,20.48,1197.33,0.0977,0,0,8,31,21,15,,,,,,,,
NaI128,128,8,8,59.8,-33.79,-10.25,20.55,1194.3,0.0977,0,0,9,0,21,16,,,,,,,,
NaI129,129,8,8,59.83,-31.02,-17.04,20.57,1192.59,0.0977,0,0,9,1,21,17,,,,,,,,
NaI130,130,8,8,59.73,-23.89,-25.94,20.58,1189.45,0.0977,0,0,9,2,21,18,,,,,,,,
NaI131,131,8,8,59.84,-17.05,-30.99,20.55,1199.72,0.0977,0,0,9,3,21,19,,,,,,,,
NaI132,132,8,8,59.88,-10.24,-33.91,20.55,1203.01,0.0977,-378.716604,3.382912,9,4,21,20,,,,,,,,
NaI133,133,8,8,59.82,-3.47,-35.06,20.49,1200.81,0.0977,-332.440848,3.657743,9,5,21,21,,,,,,,,
NaI134,134,8,9,47.84,3.41,-30.67,27.94,1198.88,0.0977,-380.376,3.435,9,6,21,22,,,,,,,,
NaI135,135,8,9,47.83,10.21,-29.13,27.96,1199.25,0.0977,-234.993608,3.14496,9,7,21,23,,,,,,,,
NaI136,136,8,9,47.66,17.02,-25.58,28,1194.62,0.0977,-326.633912,3.224079,9,8,21,24,,,,,,,,
NaI137,137,8,9,51.59,25.96,-23.92,27.99,1193.43,0.0977,-282.96469,2.975685,9,9,21,25,,,,,,,,
NaI138,138,8,9,47.76,25.67,-17.04,27.97,1200.72,0.0977,-306.852716,3.123234,9,10,21,26,,,,,,,,
