NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,122.14,-4.26,-24.57,-15.67,583.496,0.0977,-418.701,3.976,10,0,6,0
NaI1,1,8,1,122.28,10.96,-22.29,-15.69,585.237,0.0977,-412.553,3.899,10,1,6,1
NaI2,2,8,1,122.36,21.93,-11.62,-15.73,1211.34,0.0977,-407.998,4.006,10,2,6,2
NaI3,3,8,1,122.31,24.57,3.53,-15.7,1212.95,0.0977,-326.393,2.931,10,3,6,3
NaI4,4,8,1,122.23,17.75,17.49,-15.71,1212.49,0.0977,-249.458,2.994,10,4,6,4
NaI5,5,8,1,122.31,4.2,24.46,-15.69,1210.84,0.0977,-249.57,2.435,10,5,6,5
NaI6,6,8,1,122.2,-10.98,22.32,-15.66,1213.05,0.0977,-290.852,3.151,10,6,6,6
NaI7,7,8,1,122.22,-22,11.63,-15.68,1214.12,0.0977,-258.27,2.385,10,7,6,7
NaI8,8,8,1,122.23,-24.65,-3.58,-15.7,1214.74,0.0977,-330.549,3.53,10,8,6,8
NaI9,9,8,1,122.29,-17.83,-17.29,-15.7,1214.14,0.0977,-391.547,3.313,10,9,6,9
NaI10,10,8,2,113.05,4.22,-24.78,-10.7,1214.18,0.0977,-236.973,3.056,10,10,6,10
NaI11,11,8,2,113.01,18.04,-17.53,-10.68,1212.24,0.0977,-362.619,3.381,10,11,6,11
NaI12,12,8,2,112.99,24.94,-3.55,-10.69,1213.75,0.0977,-310.275,3.304,10,12,6,12
NaI13,13,8,2,112.91,22.31,11.76,-10.66,1214.34,0.0977,-289.639,3.216,10,13,6,13
NaI14,14,8,2,112.92,11.1,22.67,-10.67,1213.12,0.0977,-368.669,3.36,10,14,6,14
NaI15,15,8,2,112.98,-4.27,24.85,-10.7,1210.78,0.0977,-435.538,3.291,10,15,6,15
NaI16,16,8,2,112.99,-18.11,17.54,-10.69,1213.38,0.0977,-326.288,3.286,10,16,6,16
NaI17,17,8,2,112.97,-24.98,3.53,-10.69,1208.73,0.0977,-380.803,3.246,10,17,6,17
NaI18,18,8,2,112.92,-22.27,-11.81,-10.66,1213.11,0.0977,-319.748,3.33,10,18,6,18
NaI19,19,8,2,112.96,-11.13,-22.56,-10.66,1210.8,0.0977,-577.073,3.676,10,19,6,19
NaI20,20,8,3,100.93,-0.85,-30.15,-5.83,1211.58,0.0977,-356.238,3.551,10,20,6,20
NaI21,21,8,3,100.93,14.28,-26.48,-5.81,1207.3,0.0977,-377.879,3.136,10,21,6,21
NaI22,22,8,3,100.92,25.64,-15.8,-5.81,1211.36,0.0977,-317.96,3.246,10,22,6,22
NaI23,23,8,3,100.94,30.1,-0.94,-5.82,1211.32,0.0977,-382.953,3.252,10,23,6,23
NaI24,24,8,3,100.94,26.46,14.1,-5.8,1210.51,0.0977,-363.082,3.237,10,24,6,24
NaI25,25,8,3,100.95,15.89,25.53,-5.82,1211.87,0.0977,-303.595,3.149,10,25,6,25
NaI26,26,8,3,100.96,0.96,30.07,-5.82,1212.16,0.0977,-308.45,3.197,10,26,6,26
NaI27,27,8,3,101.01,-14.24,26.46,-5.85,1213.64,0.0977,-334.251,3.227,10,27,6,27
NaI28,28,8,3,100.99,-25.56,15.81,-5.84,1212.99,0.0977,-311.493,3.031,10,28,6,28
NaI29,29,8,3,100.95,-30.04,0.89,-5.82,1209.89,0.0977,-413.839,3.419,10,29,8,118
NaI30,30,8,3,100.93,-26.51,-14.31,-5.82,1213.02,0.0977,-477.984,3.201,10,30,6,30
NaI31,31,8,3,100.89,-15.77,-25.59,-5.78,1212.85,0.0977,-339.427,3.123,10,31,6,31
NaI32,32,8,4,91.5,-0.91,-33.53,-0.88,1207.17,0.0977,-243.205,3.261,11,0,6,32
NaI33,33,8,4,91.56,13.61,-30.5,-0.91,1204.37,0.0977,-222.343,3.413,11,1,6,33
NaI34,34,8,4,91.55,25.59,-21.55,-0.91,1205.53,0.0977,-160.871,3.037,11,2,6,34
NaI35,35,8,4,91.5,32.5,-8.27,-0.88,1207.4,0.0977,-201.527,3.298,11,3,6,35
NaI36,36,8,4,91.52,32.77,6.46,-0.89,1207.01,0.0977,-159.011,3.326,11,4,6,36
NaI37,37,8,4,91.53,26.75,20.16,-0.89,1206.52,0.0977,-367.924,3.369,11,5,6,37
NaI38,38,8,4,91.56,15.31,29.74,-0.91,1205.68,0.0977,-293.589,3.176,11,6,6,38
NaI39,39,8,4,91.5,0.91,33.45,-0.88,1205.77,0.0977,-290.009,3.413,11,7,6,39
NaI40,40,8,4,91.55,-13.65,30.5,-0.9,1208.12,0.0977,-206.955,3.414,11,8,6,40
NaI41,41,8,4,91.55,-25.62,21.56,-0.91,1209.51,0.0977,-221.201,2.881,11,9,6,41
NaI42,42,8,4,91.5,-32.34,8.46,-0.87,1213.96,0.0977,-312.226,3.069,11,10,6,42
NaI43,43,8,4,91.53,-32.78,-6.58,-0.89,1211.74,0.0977,-264.428,3.283,11,11,6,43
NaI44,44,8,4,91.54,-26.74,-20.08,-0.9,1209.53,0.0977,-349.711,3.325,11,12,6,44
NaI45,45,8,4,91.52,-15.35,-29.81,-0.89,1211.14,0.0977,-263.803,3.191,11,13,6,45
NaI46,46,8,5,83.81,7.94,-39.01,4.32,1206.02,0.0977,-240.925,3.06,11,14,6,46
NaI47,47,8,5,83.48,22.33,-30.21,4.3,1206.76,0.0977,-190.954,2.844,11,15,6,47
NaI48,48,8,5,83.55,30.95,-21.57,4.27,1205.98,0.0977,-377.835,3.215,11,16,6,48
NaI49,49,8,5,83.49,35.18,-12.98,4.28,1203.09,0.0977,-300.409,3.209,11,17,6,49
NaI50,50,8,5,83.45,36.9,-4.33,4.26,1210.3,0.0977,-347.796,2.99,11,18,6,50
NaI51,51,8,5,83.45,36.99,4.4,4.28,1209.69,0.0977,-262.048,3.146,11,19,6,51
NaI52,52,8,5,83.52,35.37,13.01,4.28,1205.42,0.0977,-408.47,3.203,11,20,6,52
NaI53,53,8,5,83.46,30.83,21.57,4.31,1204.52,0.0977,-281.523,3.088,11,21,6,53
NaI54,54,8,5,83.43,22.38,30.25,4.34,1206.09,0.0977,-423.337,3.171,11,22,6,54
NaI55,55,8,5,83.8,8.02,39.07,4.33,1208.32,0.0977,-296.417,3.311,11,23,6,55
NaI56,56,8,5,83.84,-8.07,39.04,4.3,1205.39,0.0977,-286.478,3.252,11,24,6,56
NaI57,57,8,5,83.43,-22.26,30.21,4.32,1205.58,0.0977,-297.609,3.284,11,25,6,57
NaI58,58,8,5,83.52,-30.81,21.6,4.27,1205.66,0.0977,-374.494,3.237,11,26,6,58
NaI59,59,8,5,83.44,-35.35,12.88,4.32,1205.09,0.0977,-274.144,3.093,11,27,6,59
NaI60,60,8,5,83.42,-36.93,4.46,4.29,1212.09,0.0977,-289.131,2.859,11,28,6,60
NaI61,61,8,5,83.44,-36.85,-4.41,4.27,1211.64,0.0977,-266.158,3.086,11,29,6,61
NaI62,62,8,5,83.48,-35.24,-12.93,4.29,1206.08,0.0977,-335.532,3.067,11,30,6,62
NaI63,63,8,5,83.43,-30.72,-21.59,4.32,1208.49,0.0977,-284.637,3.131,11,31,6,113
NaI64,64,8,5,83.52,-22.37,-30.16,4.26,1203.89,0.0977,-425.822,3.291,12,0,6,64
