NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,125.95,-4.17,-24.86,-18.28,583.496,0.0977,-442.86,4.267,5,0,22,0
NaI1,1,8,1,125.85,11.32,-22.61,-18.27,585.237,0.0977,-426.606,3.941,5,1,22,1
NaI2,2,8,1,125.76,22.42,-11.7,-18.22,1211.34,0.0977,-418.395,4.094,5,2,22,2
NaI3,3,8,1,125.75,25.05,3.75,-18.24,1212.95,0.0977,-960.659,9.499,5,3,22,3
NaI4,4,8,1,125.9,18.05,17.6,-18.25,1212.49,0.0977,-287.779,3.332,5,4,22,4
NaI5,5,8,1,125.73,4.06,25.05,-18.26,1210.84,0.0977,-399.599,4.042,5,5,22,5
NaI6,6,8,1,125.85,-11.27,22.55,-18.22,1213.05,0.0977,-361.747,3.898,5,6,22,6
NaI7,7,8,1,125.89,-22.35,11.72,-18.26,1214.12,0.0977,-410.565,3.959,5,7,22,7
NaI8,8,8,1,125.88,-24.96,-3.75,-18.26,1214.74,0.0977,-374.011,3.759,5,8,22,8
NaI9,9,8,1,125.84,-18.04,-17.77,-18.29,1214.14,0.0977,-425.601,3.627,5,9,22,9
NaI10,10,8,2,117.31,4.46,-25.19,-13.21,1214.18,0.0977,-253.713,3.295,5,10,22,10
NaI11,11,8,2,117.25,18.62,-17.68,-13.22,1212.24,0.0977,-587.914,5.648,5,11,22,11
NaI12,12,8,2,117.23,25.42,-3.44,-13.2,1213.75,0.0977,-328.017,3.371,5,12,22,12
NaI13,13,8,2,117.13,22.64,12.26,-13.19,1214.34,0.0977,-352.204,3.778,5,13,22,13
NaI14,14,8,2,117.2,11.06,23.18,-13.2,1213.12,0.0977,-377.563,3.358,5,14,22,14
NaI15,15,8,2,117.2,-4.71,25.25,-13.2,1210.78,0.0977,-445.838,3.284,5,15,22,15
NaI16,16,8,2,117.21,-18.68,17.65,-13.21,1213.38,0.0977,-315.886,3.158,5,16,22,16
NaI17,17,8,2,117.29,-25.34,3.45,-13.19,1208.73,0.0977,-660.617,5.831,5,17,22,17
NaI18,18,8,2,117.16,-22.67,-12.23,-13.21,1213.11,0.0977,-327.056,3.309,5,18,22,18
