NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI56,56,8,5,87.35,-7.9,39.01,1.84,1205.39,0.0977,-299.867,3.171,6,24,22,56
NaI57,57,8,5,87.18,-22.22,30.15,1.84,1205.58,0.0977,-317.981,3.208,6,25,22,57
NaI58,58,8,5,87.19,-30.95,21.56,1.85,1205.66,0.0977,-295.506,3.115,6,26,22,58
NaI59,59,8,5,87.21,-35.32,12.98,1.83,1205.09,0.0977,-313.004,2.877,6,27,22,59
NaI60,60,8,5,87.16,-36.89,4.35,1.85,1212.09,0.0977,-310.736,3.157,6,28,22,60
NaI61,61,8,5,87.17,-36.88,-4.36,1.83,1211.64,0.0977,-310.619,3.134,6,29,22,61
NaI62,62,8,5,87.15,-35.25,-12.95,1.87,1206.08,0.0977,-343.819,3.289,6,30,22,62
NaI63,63,8,5,87.23,-31.07,-21.54,1.83,1208.49,0.0977,-218.79,2.798,6,31,22,63
NaI64,64,8,5,87.16,-22.38,-30.24,1.86,1203.89,0.0977,-311.562,3.493,7,0,22,64
NaI65,65,8,5,87.34,-7.89,-39.08,1.85,1206.67,0.0977,-327.792,3.289,7,1,22,65
NaI66,66,8,6,78.89,7.97,-38.95,7.81,1206.56,0.0977,-319.617,3.063,7,2,22,66
NaI67,67,8,6,78.19,22.14,-30.13,7.82,1204.02,0.0977,-334.486,3.266,7,3,22,67
NaI68,68,8,6,78.25,30.84,-21.52,7.82,1205.8,0.0977,-279.053,3.209,7,4,22,68
NaI69,69,8,6,78.36,35.35,-12.96,7.76,1205.64,0.0977,-278.442,2.981,7,5,22,69
NaI70,70,8,6,78.3,37.26,-4.35,7.77,1206.06,0.0977,-314.024,3.227,7,6,22,70
NaI71,71,8,6,78.31,37.19,4.36,7.75,1202.91,0.0977,-306.652,3.232,7,7,22,71
NaI72,72,8,6,78.28,35.29,12.92,7.79,1120.11,0.0977,-315.241,3.24,7,8,22,72
NaI73,73,8,6,78.35,30.92,21.53,7.77,1208.17,0.0977,-361.491,3.32,7,9,22,73
NaI74,74,8,6,78.19,22.14,30.19,7.83,1207.91,0.0977,-231.253,3.25,7,10,22,74
NaI75,75,8,6,78.89,7.84,39.04,7.82,1205.69,0.0977,-313.976,3.151,7,11,22,75
NaI76,76,8,6,78.86,-7.84,39,7.83,1207.84,0.0977,-308.349,3.175,7,12,22,76
NaI77,77,8,6,78.19,-22.18,30.19,7.83,1207.14,0.0977,-294.638,3.255,7,13,22,77
NaI78,78,8,6,78.2,-30.76,21.57,7.85,1206.22,0.0977,-362.411,3.338,7,14,22,78
NaI79,79,8,6,78.29,-35.21,13.01,7.78,1207.13,0.0977,-418.483,3.096,7,15,22,79
NaI80,80,8,6,78.29,-37.24,4.35,7.77,1202.71,0.0977,-347.122,3.541,7,16,22,80
NaI81,81,8,6,78.24,-37.26,-4.37,7.81,1198.76,0.0977,-407.945,3.366,7,17,22,81
NaI82,82,8,6,78.27,-35.23,-12.97,7.8,1202.78,0.0977,-339.626,3.579,7,18,22,82
NaI83,83,8,6,78.3,-30.89,-21.51,7.8,1206.71,0.0977,-405.902,3.345,7,19,22,83
NaI84,84,8,6,78.21,-22.12,-30.17,7.81,1202.72,0.0977,-329.089,3.473,7,20,22,84
NaI85,85,8,6,78.86,-7.84,-38.98,7.83,1206.76,0.0977,-389.322,3.099,7,21,22,85
NaI86,86,8,7,70.93,7.74,-38.99,13.75,1204.69,0.0977,-307.628,3.155,7,22,22,86
NaI87,87,8,7,69.78,21.96,-30.15,13.74,1205.58,0.0977,-406.424,3.309,7,23,22,87
NaI88,88,8,7,69.84,30.64,-21.51,13.74,1206.81,0.0977,-382.64,3.253,7,24,22,88
NaI89,89,8,7,69.93,35.14,-12.99,13.69,1205.36,0.0977,-363.41,3.387,7,25,22,89
NaI90,90,8,7,69.84,37.11,-4.37,13.72,1206.27,0.0977,-310.36,3.279,7,26,22,90
NaI91,91,8,7,69.84,37.12,4.3,13.72,1206.36,0.0977,-350.521,3.223,7,27,22,91
NaI92,92,8,7,69.88,35.04,12.92,13.68,1205.5,0.0977,-327.528,3.079,7,28,22,92
NaI93,93,8,7,69.88,30.64,21.55,13.72,1209.21,0.0977,-407.939,3.101,7,29,22,93
NaI94,94,8,7,69.81,21.93,30.21,13.73,1207.18,0.0977,-486.032,3.285,7,30,22,94
NaI95,95,8,7,70.9,7.85,38.97,13.76,1209.35,0.0977,-374.821,3.315,7,31,22,95
NaI96,96,8,7,70.9,-7.8,38.97,13.76,1204.97,0.0977,-275.023,3.229,8,0,22,96
