NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,125.95,-4.17,-24.86,-18.28,583.496,0.0977,-442.86,4.267,10,0,6,0
NaI1,1,8,1,125.85,11.32,-22.61,-18.27,585.237,0.0977,-426.606,3.941,10,1,6,1
NaI2,2,8,1,125.76,22.42,-11.7,-18.22,1211.34,0.0977,-418.395,4.094,10,2,6,2
NaI3,3,8,1,125.75,25.05,3.75,-18.24,1212.95,0.0977,-960.659,9.499,10,3,6,3
NaI4,4,8,1,125.9,18.05,17.6,-18.25,1212.49,0.0977,-287.779,3.332,10,4,6,4
NaI5,5,8,1,125.73,4.06,25.05,-18.26,1210.84,0.0977,-399.599,4.042,10,5,6,5
NaI6,6,8,1,125.85,-11.27,22.55,-18.22,1213.05,0.0977,-361.747,3.898,10,6,6,6
NaI7,7,8,1,125.89,-22.35,11.72,-18.26,1214.12,0.0977,-410.565,3.959,10,7,6,7
NaI8,8,8,1,125.88,-24.96,-3.75,-18.26,1214.74,0.0977,-374.011,3.759,10,8,6,8
NaI9,9,8,1,125.84,-18.04,-17.77,-18.29,1214.14,0.0977,-425.601,3.627,10,9,6,9
NaI10,10,8,2,117.31,4.46,-25.19,-13.21,1214.18,0.0977,-253.713,3.295,10,10,6,10
NaI11,11,8,2,117.25,18.62,-17.68,-13.22,1212.24,0.0977,-587.914,5.648,10,11,6,11
NaI12,12,8,2,117.23,25.42,-3.44,-13.2,1213.75,0.0977,-328.017,3.371,10,12,6,12
NaI13,13,8,2,117.13,22.64,12.26,-13.19,1214.34,0.0977,-352.204,3.778,10,13,6,13
NaI14,14,8,2,117.2,11.06,23.18,-13.2,1213.12,0.0977,-377.563,3.358,10,14,6,14
NaI15,15,8,2,117.2,-4.71,25.25,-13.2,1210.78,0.0977,-445.838,3.284,10,15,6,15
NaI16,16,8,2,117.21,-18.68,17.65,-13.21,1213.38,0.0977,-315.886,3.158,10,16,6,16
NaI17,17,8,2,117.29,-25.34,3.45,-13.19,1208.73,0.0977,-660.617,5.831,10,17,6,17
NaI18,18,8,2,117.16,-22.67,-12.23,-13.21,1213.11,0.0977,-327.056,3.309,10,18,6,18
NaI19,19,8,2,117.17,-11.17,-23.15,-13.2,1210.8,0.0977,-543.003,3.324,10,19,6,19
NaI20,20,8,3,105.17,-0.63,-30.53,-8.28,1211.58,0.0977,-338.836,3.442,10,20,6,20
NaI21,21,8,3,105.19,14.54,-26.76,-8.27,1207.3,0.0977,-403.035,3.309,10,21,6,21
NaI22,22,8,3,105.26,25.93,-15.9,-8.3,1211.36,0.0977,-358.663,3.603,10,22,6,22
NaI23,23,8,3,105.19,30.46,-0.76,-8.27,1211.32,0.0977,-392.654,3.229,10,23,6,23
NaI24,24,8,3,105.3,26.72,14.5,-8.31,1210.51,0.0977,-366.266,3.181,10,24,6,24
NaI25,25,8,3,105.25,15.88,25.93,-8.29,1211.87,0.0977,-321.113,3.181,10,25,6,25
NaI26,26,8,3,105.18,0.7,30.51,-8.28,1212.16,0.0977,-322.018,3.297,10,26,6,26
NaI27,27,8,3,105.2,-14.53,26.81,-8.28,1213.64,0.0977,-342.855,3.232,10,27,6,27
